CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/quant_ladder/Qwen3.8-27B-UD-Q5_K_XL.gguf --host 127.0.0.1 --port 18160 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.250.059 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.251.054 I srv          init: The UI is disabled
0.00.251.056 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.251.306 W srv  llama_server: -----------------
0.00.251.308 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.251.308 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.251.308 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.251.308 W srv  llama_server: -----------------
0.00.252.499 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/quant_ladder/Qwen3.8-27B-UD-Q5_K_XL.gguf'
0.00.577.506 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.577.525 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.577.530 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.577.532 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.577.534 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.577.540 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.577.541 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.577.543 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.577.545 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.577.546 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.577.548 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.577.550 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.577.552 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.577.554 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.577.559 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.33.362.382 I cmn          init: llama threadpool init, n_threads = 8
0.33.489.766 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.33.501.851 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.33.501.892 I srv  llama_server: model loaded
0.33.501.895 I srv  llama_server: listening on http://127.0.0.1:18160
0.33.744.587 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.33.744.667 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.34.047.067 I slot print_timing: id  0 | task 0 | prompt eval time =     233.90 ms /    25 tokens (    9.36 ms per token,   106.88 tokens per second)
0.34.047.072 I slot print_timing: id  0 | task 0 |        eval time =      68.48 ms /     3 tokens (   34.24 ms per token,    29.21 tokens per second)
0.34.047.073 I slot print_timing: id  0 | task 0 |       total time =     302.37 ms /    28 tokens
0.34.047.076 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.34.047.156 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.34.053.031 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 239925294961
0.34.169.727 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.34.431.935 I slot print_timing: id  0 | task 6 | prompt eval time =     262.19 ms /    95 tokens (    2.76 ms per token,   362.34 tokens per second)
0.34.431.940 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.34.431.940 I slot print_timing: id  0 | task 6 |       total time =     262.19 ms /    96 tokens
0.34.431.940 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.34.431.957 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.34.434.022 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.34.434.060 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.34.670.329 I slot print_timing: id  0 | task 10 | prompt eval time =     236.26 ms /    95 tokens (    2.49 ms per token,   402.11 tokens per second)
0.34.670.334 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.34.670.335 I slot print_timing: id  0 | task 10 |       total time =     236.26 ms /    96 tokens
0.34.670.335 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.34.670.354 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.34.672.186 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.34.672.227 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.34.909.005 I slot print_timing: id  0 | task 14 | prompt eval time =     236.76 ms /    95 tokens (    2.49 ms per token,   401.24 tokens per second)
0.34.909.010 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.34.909.011 I slot print_timing: id  0 | task 14 |       total time =     236.77 ms /    96 tokens
0.34.909.011 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.34.909.029 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.34.910.984 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.34.911.016 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
