CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18150 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.121.777 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.121.868 I srv          init: The UI is disabled
0.00.121.868 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.121.906 W srv  llama_server: -----------------
0.00.121.907 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.121.907 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.121.907 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.121.907 W srv  llama_server: -----------------
0.00.123.099 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.431.953 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.431.961 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.431.966 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.431.970 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.431.972 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.431.978 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.431.980 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.431.982 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.431.984 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.431.985 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.431.987 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.431.989 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.431.991 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.431.993 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.431.998 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.956.243 I cmn          init: llama threadpool init, n_threads = 8
0.02.051.588 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.054.910 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.054.943 I srv  llama_server: model loaded
0.02.054.946 I srv  llama_server: listening on http://127.0.0.1:18150
0.02.290.891 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.290.956 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.516.993 I slot print_timing: id  0 | task 0 | prompt eval time =     165.53 ms /    25 tokens (    6.62 ms per token,   151.03 tokens per second)
0.02.516.997 I slot print_timing: id  0 | task 0 |        eval time =      60.48 ms /     3 tokens (   30.24 ms per token,    33.07 tokens per second)
0.02.516.997 I slot print_timing: id  0 | task 0 |       total time =     226.01 ms /    28 tokens
0.02.517.000 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.02.517.024 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.02.519.490 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 74010420377
0.02.587.362 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.02.773.716 I slot print_timing: id  0 | task 6 | prompt eval time =     186.33 ms /    95 tokens (    1.96 ms per token,   509.84 tokens per second)
0.02.773.720 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.773.721 I slot print_timing: id  0 | task 6 |       total time =     186.34 ms /    96 tokens
0.02.773.721 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.02.773.737 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.02.776.221 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.776.266 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.02.962.071 I slot print_timing: id  0 | task 10 | prompt eval time =     185.79 ms /    95 tokens (    1.96 ms per token,   511.32 tokens per second)
0.02.962.077 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.962.077 I slot print_timing: id  0 | task 10 |       total time =     185.80 ms /    96 tokens
0.02.962.078 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.02.962.093 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.02.964.426 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.964.461 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.03.150.877 I slot print_timing: id  0 | task 14 | prompt eval time =     186.40 ms /    95 tokens (    1.96 ms per token,   509.65 tokens per second)
0.03.150.883 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.150.883 I slot print_timing: id  0 | task 14 |       total time =     186.40 ms /    96 tokens
0.03.150.883 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.03.150.902 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.03.152.917 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.152.952 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.03.340.851 I slot print_timing: id  0 | task 18 | prompt eval time =     187.89 ms /    95 tokens (    1.98 ms per token,   505.63 tokens per second)
0.03.340.856 I slot print_timing: id  0 | task 18 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.340.856 I slot print_timing: id  0 | task 18 |       total time =     187.89 ms /    96 tokens
0.03.340.857 I slot print_timing: id  0 | task 18 |    graphs reused =          2
0.03.340.873 I slot      release: id  0 | task 18 | stop processing: n_tokens = 95, truncated = 0
0.03.343.058 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.343.095 I slot launch_slot_: id  0 | task 22 | processing task, is_child = 0
0.03.528.252 I slot print_timing: id  0 | task 22 | prompt eval time =     185.14 ms /    95 tokens (    1.95 ms per token,   513.11 tokens per second)
0.03.528.257 I slot print_timing: id  0 | task 22 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.528.257 I slot print_timing: id  0 | task 22 |       total time =     185.15 ms /    96 tokens
0.03.528.258 I slot print_timing: id  0 | task 22 |    graphs reused =          2
0.03.528.277 I slot      release: id  0 | task 22 | stop processing: n_tokens = 95, truncated = 0
0.03.530.253 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.530.280 I slot launch_slot_: id  0 | task 26 | processing task, is_child = 0
0.03.714.358 I slot print_timing: id  0 | task 26 | prompt eval time =     184.07 ms /    95 tokens (    1.94 ms per token,   516.12 tokens per second)
0.03.714.362 I slot print_timing: id  0 | task 26 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.714.362 I slot print_timing: id  0 | task 26 |       total time =     184.07 ms /    96 tokens
0.03.714.363 I slot print_timing: id  0 | task 26 |    graphs reused =          2
0.03.714.377 I slot      release: id  0 | task 26 | stop processing: n_tokens = 95, truncated = 0
0.03.716.173 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.716.206 I slot launch_slot_: id  0 | task 30 | processing task, is_child = 0
0.03.900.357 I slot print_timing: id  0 | task 30 | prompt eval time =     184.14 ms /    95 tokens (    1.94 ms per token,   515.92 tokens per second)
0.03.900.361 I slot print_timing: id  0 | task 30 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.900.361 I slot print_timing: id  0 | task 30 |       total time =     184.14 ms /    96 tokens
0.03.900.362 I slot print_timing: id  0 | task 30 |    graphs reused =          2
0.03.900.377 I slot      release: id  0 | task 30 | stop processing: n_tokens = 95, truncated = 0
0.03.902.215 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.902.240 I slot launch_slot_: id  0 | task 34 | processing task, is_child = 0
0.04.088.920 I slot print_timing: id  0 | task 34 | prompt eval time =     186.67 ms /    95 tokens (    1.96 ms per token,   508.93 tokens per second)
0.04.088.924 I slot print_timing: id  0 | task 34 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.04.088.925 I slot print_timing: id  0 | task 34 |       total time =     186.67 ms /    96 tokens
0.04.088.925 I slot print_timing: id  0 | task 34 |    graphs reused =          2
0.04.088.942 I slot      release: id  0 | task 34 | stop processing: n_tokens = 95, truncated = 0
0.04.091.064 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.04.091.102 I slot launch_slot_: id  0 | task 38 | processing task, is_child = 0
0.07.280.628 I slot print_timing: id  0 | task 38 | n_gen =    122, tg =  40.28 t/s, tg_3s =  40.62 t/s
0.10.288.502 I slot print_timing: id  0 | task 38 | n_gen =    243, tg =  40.26 t/s, tg_3s =  40.23 t/s
0.13.288.855 I slot print_timing: id  0 | task 38 | n_gen =    364, tg =  40.28 t/s, tg_3s =  40.33 t/s
0.14.180.716 I slot print_timing: id  0 | task 38 | prompt eval time =     185.83 ms /    95 tokens (    1.96 ms per token,   511.21 tokens per second)
0.14.180.721 I slot print_timing: id  0 | task 38 |        eval time =    9903.77 ms /   400 tokens (   24.82 ms per token,    40.29 tokens per second)
0.14.180.721 I slot print_timing: id  0 | task 38 |       total time =   10089.60 ms /   495 tokens
0.14.180.721 I slot print_timing: id  0 | task 38 |    graphs reused =        399
0.14.180.738 I slot      release: id  0 | task 38 | stop processing: n_tokens = 494, truncated = 0
0.14.185.336 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 74022084092
0.14.257.822 I slot launch_slot_: id  0 | task 441 | processing task, is_child = 0
0.14.444.572 I slot print_timing: id  0 | task 441 | prompt eval time =     186.72 ms /   100 tokens (    1.87 ms per token,   535.55 tokens per second)
0.14.444.578 I slot print_timing: id  0 | task 441 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.14.444.578 I slot print_timing: id  0 | task 441 |       total time =     186.73 ms /   101 tokens
0.14.444.579 I slot print_timing: id  0 | task 441 |    graphs reused =        399
0.14.444.595 I slot      release: id  0 | task 441 | stop processing: n_tokens = 100, truncated = 0
0.14.446.496 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.14.446.527 I slot launch_slot_: id  0 | task 445 | processing task, is_child = 0
0.14.633.321 I slot print_timing: id  0 | task 445 | prompt eval time =     186.78 ms /   100 tokens (    1.87 ms per token,   535.38 tokens per second)
0.14.633.325 I slot print_timing: id  0 | task 445 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
