CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18215 -ngl 999 -c 8192 -fa on -ctk f16 -ctv f16 --no-webui --parallel 1 --jinja --fit off
0.00.116.556 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.116.635 I srv          init: The UI is disabled
0.00.116.637 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.116.675 W srv  llama_server: -----------------
0.00.116.677 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.116.677 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.116.677 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.116.677 W srv  llama_server: -----------------
0.00.117.941 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.425.070 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.425.076 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.425.081 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.425.082 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.425.084 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.425.090 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.425.091 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.425.093 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.425.095 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.425.096 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.425.098 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.425.100 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.425.102 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.425.104 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.425.109 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.952.422 I cmn          init: llama threadpool init, n_threads = 8
0.02.042.131 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.045.505 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.045.537 I srv  llama_server: model loaded
0.02.045.539 I srv  llama_server: listening on http://127.0.0.1:18215
0.02.290.848 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.290.903 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.509.241 I slot print_timing: id  0 | task 0 | prompt eval time =     161.31 ms /    25 tokens (    6.45 ms per token,   154.98 tokens per second)
0.02.509.247 I slot print_timing: id  0 | task 0 |        eval time =      57.00 ms /     3 tokens (   28.50 ms per token,    35.09 tokens per second)
0.02.509.248 I slot print_timing: id  0 | task 0 |       total time =     218.32 ms /    28 tokens
0.02.509.251 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.02.509.279 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.02.511.576 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 118949158423
0.02.579.396 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.02.759.571 I slot print_timing: id  0 | task 6 | prompt eval time =     180.16 ms /    95 tokens (    1.90 ms per token,   527.32 tokens per second)
0.02.759.576 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.759.576 I slot print_timing: id  0 | task 6 |       total time =     180.16 ms /    96 tokens
0.02.759.577 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.02.759.592 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.02.761.356 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.761.395 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.02.941.598 I slot print_timing: id  0 | task 10 | prompt eval time =     180.19 ms /    95 tokens (    1.90 ms per token,   527.22 tokens per second)
0.02.941.603 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.941.603 I slot print_timing: id  0 | task 10 |       total time =     180.19 ms /    96 tokens
0.02.941.604 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.02.941.620 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.02.943.617 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.943.654 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.03.123.867 I slot print_timing: id  0 | task 14 | prompt eval time =     180.19 ms /    95 tokens (    1.90 ms per token,   527.23 tokens per second)
0.03.123.871 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.123.871 I slot print_timing: id  0 | task 14 |       total time =     180.19 ms /    96 tokens
0.03.123.872 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.03.123.894 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.03.125.739 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.125.783 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.03.305.634 I slot print_timing: id  0 | task 18 | prompt eval time =     179.84 ms /    95 tokens (    1.89 ms per token,   528.25 tokens per second)
0.03.305.639 I slot print_timing: id  0 | task 18 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.305.639 I slot print_timing: id  0 | task 18 |       total time =     179.84 ms /    96 tokens
0.03.305.640 I slot print_timing: id  0 | task 18 |    graphs reused =          2
