CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18240 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-simple --spec-draft-n-max 8 --spec-draft-n-min 4 -md /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/draft08b/Qwen3.5-0.8B-Q4_K_M.gguf -ngld 99
0.00.161.842 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.161.927 I srv          init: The UI is disabled
0.00.161.929 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.161.975 W srv  llama_server: -----------------
0.00.161.976 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.161.976 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.161.976 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.161.977 W srv  llama_server: -----------------
0.00.163.170 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.476.748 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.476.755 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.476.762 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.476.765 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.476.767 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.476.777 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.476.780 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.476.783 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.476.786 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.476.790 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.476.793 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.476.798 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.476.801 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.476.811 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.476.824 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.17.350.623 I cmn          init: llama threadpool init, n_threads = 8
0.17.407.660 I common_speculative_init_result: loading draft model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/draft08b/Qwen3.5-0.8B-Q4_K_M.gguf'
0.17.755.673 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.17.770.546 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.17.770.589 I srv  llama_server: model loaded
0.17.770.593 I srv  llama_server: listening on http://127.0.0.1:18240
0.18.019.123 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.18.019.172 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.18.435.051 I slot print_timing: id  0 | task 0 | prompt eval time =     239.94 ms /    25 tokens (    9.60 ms per token,   104.19 tokens per second)
0.18.435.056 I slot print_timing: id  0 | task 0 |        eval time =     175.91 ms /     3 tokens (   87.96 ms per token,    11.37 tokens per second)
0.18.435.056 I slot print_timing: id  0 | task 0 |       total time =     415.85 ms /    28 tokens
0.18.435.059 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.18.435.063 I slot print_timing: id  0 | task 0 | draft acceptance = 0.12500 (    1 accepted /     8 generated), mean len =  2.00
0.18.435.101 I slot      release: id  0 | task 0 | stop processing: n_tokens = 28, truncated = 0
0.18.437.222 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 193757662637
0.18.557.351 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.18.799.931 I slot print_timing: id  0 | task 6 | prompt eval time =     242.56 ms /    95 tokens (    2.55 ms per token,   391.66 tokens per second)
0.18.799.936 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.18.799.936 I slot print_timing: id  0 | task 6 |       total time =     242.56 ms /    96 tokens
0.18.799.937 I slot print_timing: id  0 | task 6 |    graphs reused =          1
0.18.799.967 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.18.801.805 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.18.801.839 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.19.042.678 I slot print_timing: id  0 | task 10 | prompt eval time =     240.82 ms /    95 tokens (    2.53 ms per token,   394.48 tokens per second)
0.19.042.683 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.19.042.683 I slot print_timing: id  0 | task 10 |       total time =     240.83 ms /    96 tokens
0.19.042.684 I slot print_timing: id  0 | task 10 |    graphs reused =          1
0.19.042.710 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.19.044.587 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.19.044.624 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.19.281.248 I slot print_timing: id  0 | task 14 | prompt eval time =     236.61 ms /    95 tokens (    2.49 ms per token,   401.50 tokens per second)
0.19.281.253 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.19.281.253 I slot print_timing: id  0 | task 14 |       total time =     236.61 ms /    96 tokens
0.19.281.254 I slot print_timing: id  0 | task 14 |    graphs reused =          1
0.19.281.283 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.19.283.022 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.19.283.055 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.19.521.189 I slot print_timing: id  0 | task 18 | prompt eval time =     238.12 ms /    95 tokens (    2.51 ms per token,   398.96 tokens per second)
0.19.521.194 I slot print_timing: id  0 | task 18 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
