CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-dflash2/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18215 -ngl 999 -c 8192 -fa on -ctk f16 -ctv f16 --no-webui --parallel 1 --jinja --fit off --spec-type draft-dflash --spec-draft-n-max 7 -md /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/dflash2/Qwen3.8-27B-DFlash2-Q4_K_M.gguf
0.00.140.522 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.216.463 I srv          init: The UI is disabled
0.00.216.466 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.216.505 W srv  llama_server: -----------------
0.00.216.507 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.216.507 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.216.507 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.216.507 W srv  llama_server: -----------------
0.00.217.727 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.457.028 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.457.033 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.457.038 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.457.039 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.457.041 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.457.046 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.457.048 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.457.050 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.457.051 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.457.053 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.457.055 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.457.057 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.457.059 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.457.061 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.457.066 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.23.873.745 I cmn          init: llama threadpool init, n_threads = 8
0.23.929.662 I common_speculative_init_result: loading draft model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/dflash2/Qwen3.8-27B-DFlash2-Q4_K_M.gguf'
0.25.157.656 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.25.157.684 I common_speculative_impl_draft_dflash: adding speculative implementation 'draft-dflash'
0.25.157.686 I common_speculative_impl_draft_dflash: - n_max=7, n_min=0, p_min=0.00
0.25.157.687 I common_speculative_impl_draft_dflash: - block_size=8, mask_token_id=248070, n_extract=5, sample_from_anchor=true
0.25.181.830 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.25.181.867 I srv  llama_server: model loaded
0.25.181.873 I srv  llama_server: listening on http://127.0.0.1:18215
0.25.527.796 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.25.527.844 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.25.888.690 I slot print_timing: id  0 | task 0 | prompt eval time =     242.54 ms /    25 tokens (    9.70 ms per token,   103.07 tokens per second)
0.25.888.694 I slot print_timing: id  0 | task 0 |        eval time =     118.27 ms /     3 tokens (   59.13 ms per token,    16.91 tokens per second)
0.25.888.695 I slot print_timing: id  0 | task 0 |       total time =     360.81 ms /    28 tokens
0.25.888.697 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.25.888.700 I slot print_timing: id  0 | task 0 | draft acceptance = 0.28571 (    2 accepted /     7 generated), mean len =  3.00
0.25.888.731 I slot      release: id  0 | task 0 | stop processing: n_tokens = 28, truncated = 0
0.25.891.144 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 120623067614
0.25.959.263 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.26.206.028 I slot print_timing: id  0 | task 5 | prompt eval time =     246.75 ms /    95 tokens (    2.60 ms per token,   385.01 tokens per second)
0.26.206.033 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.26.206.033 I slot print_timing: id  0 | task 5 |       total time =     246.75 ms /    96 tokens
0.26.206.034 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.26.206.059 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.26.208.011 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.26.208.046 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.26.435.187 I slot print_timing: id  0 | task 9 | prompt eval time =     227.13 ms /    95 tokens (    2.39 ms per token,   418.27 tokens per second)
0.26.435.192 I slot print_timing: id  0 | task 9 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.26.435.193 I slot print_timing: id  0 | task 9 |       total time =     227.13 ms /    96 tokens
0.26.435.193 I slot print_timing: id  0 | task 9 |    graphs reused =          1
0.26.435.220 I slot      release: id  0 | task 9 | stop processing: n_tokens = 95, truncated = 0
0.26.437.211 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.26.437.249 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
0.26.675.222 I slot print_timing: id  0 | task 13 | prompt eval time =     237.96 ms /    95 tokens (    2.50 ms per token,   399.23 tokens per second)
0.26.675.227 I slot print_timing: id  0 | task 13 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.26.675.227 I slot print_timing: id  0 | task 13 |       total time =     237.96 ms /    96 tokens
0.26.675.227 I slot print_timing: id  0 | task 13 |    graphs reused =          1
0.26.675.253 I slot      release: id  0 | task 13 | stop processing: n_tokens = 95, truncated = 0
0.26.677.646 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.26.677.681 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
0.26.905.416 I slot print_timing: id  0 | task 17 | prompt eval time =     227.72 ms /    95 tokens (    2.40 ms per token,   417.18 tokens per second)
0.26.905.421 I slot print_timing: id  0 | task 17 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.26.905.421 I slot print_timing: id  0 | task 17 |       total time =     227.72 ms /    96 tokens
0.26.905.422 I slot print_timing: id  0 | task 17 |    graphs reused =          1
0.26.905.447 I slot      release: id  0 | task 17 | stop processing: n_tokens = 95, truncated = 0
0.26.907.246 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.26.907.278 I slot launch_slot_: id  0 | task 21 | processing task, is_child = 0
0.27.132.938 I slot print_timing: id  0 | task 21 | prompt eval time =     225.64 ms /    95 tokens (    2.38 ms per token,   421.02 tokens per second)
0.27.132.944 I slot print_timing: id  0 | task 21 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.27.132.944 I slot print_timing: id  0 | task 21 |       total time =     225.64 ms /    96 tokens
0.27.132.944 I slot print_timing: id  0 | task 21 |    graphs reused =          1
0.27.133.001 I slot      release: id  0 | task 21 | stop processing: n_tokens = 95, truncated = 0
0.27.135.423 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.27.135.457 I slot launch_slot_: id  0 | task 25 | processing task, is_child = 0
