CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18150 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 3
0.00.123.474 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.123.553 I srv          init: The UI is disabled
0.00.123.554 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.123.594 W srv  llama_server: -----------------
0.00.123.594 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.123.594 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.123.594 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.123.594 W srv  llama_server: -----------------
0.00.124.792 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.01.967.993 I cmn          init: llama threadpool init, n_threads = 8
0.02.025.249 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.02.070.494 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.084.404 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.084.433 I srv  llama_server: model loaded
0.02.084.437 I srv  llama_server: listening on http://127.0.0.1:18150
0.02.284.150 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.284.204 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.561.103 I slot print_timing: id  0 | task 0 | prompt eval time =     211.60 ms /    25 tokens (    8.46 ms per token,   118.14 tokens per second)
0.02.561.107 I slot print_timing: id  0 | task 0 |        eval time =      65.27 ms /     3 tokens (   32.63 ms per token,    30.64 tokens per second)
0.02.561.107 I slot print_timing: id  0 | task 0 |       total time =     276.87 ms /    28 tokens
0.02.561.109 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.02.561.111 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (    3 accepted /     3 generated), mean len =  4.00
0.02.561.166 I slot      release: id  0 | task 0 | stop processing: n_tokens = 29, truncated = 0
0.02.563.457 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 76201051024
0.02.633.215 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.02.875.646 I slot print_timing: id  0 | task 5 | prompt eval time =     242.41 ms /    95 tokens (    2.55 ms per token,   391.90 tokens per second)
0.02.875.651 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.875.651 I slot print_timing: id  0 | task 5 |       total time =     242.41 ms /    96 tokens
0.02.875.652 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.02.875.675 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.02.877.663 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.877.698 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.03.128.199 I slot print_timing: id  0 | task 9 | prompt eval time =     250.49 ms /    95 tokens (    2.64 ms per token,   379.26 tokens per second)
0.03.128.202 I slot print_timing: id  0 | task 9 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.128.203 I slot print_timing: id  0 | task 9 |       total time =     250.49 ms /    96 tokens
0.03.128.203 I slot print_timing: id  0 | task 9 |    graphs reused =          1
0.03.128.245 I slot      release: id  0 | task 9 | stop processing: n_tokens = 95, truncated = 0
0.03.130.371 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.130.403 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
0.03.380.748 I slot print_timing: id  0 | task 13 | prompt eval time =     250.33 ms /    95 tokens (    2.64 ms per token,   379.49 tokens per second)
0.03.380.752 I slot print_timing: id  0 | task 13 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.380.752 I slot print_timing: id  0 | task 13 |       total time =     250.33 ms /    96 tokens
0.03.380.753 I slot print_timing: id  0 | task 13 |    graphs reused =          1
0.03.380.776 I slot      release: id  0 | task 13 | stop processing: n_tokens = 95, truncated = 0
0.03.382.833 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.382.868 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
0.03.636.409 I slot print_timing: id  0 | task 17 | prompt eval time =     253.53 ms /    95 tokens (    2.67 ms per token,   374.71 tokens per second)
0.03.636.413 I slot print_timing: id  0 | task 17 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.636.414 I slot print_timing: id  0 | task 17 |       total time =     253.53 ms /    96 tokens
0.03.636.415 I slot print_timing: id  0 | task 17 |    graphs reused =          1
0.03.636.439 I slot      release: id  0 | task 17 | stop processing: n_tokens = 95, truncated = 0
0.03.638.670 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.638.701 I slot launch_slot_: id  0 | task 21 | processing task, is_child = 0
0.03.892.510 I slot print_timing: id  0 | task 21 | prompt eval time =     253.79 ms /    95 tokens (    2.67 ms per token,   374.32 tokens per second)
0.03.892.516 I slot print_timing: id  0 | task 21 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.892.516 I slot print_timing: id  0 | task 21 |       total time =     253.80 ms /    96 tokens
0.03.892.517 I slot print_timing: id  0 | task 21 |    graphs reused =          1
0.03.892.543 I slot      release: id  0 | task 21 | stop processing: n_tokens = 95, truncated = 0
0.03.894.386 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.894.420 I slot launch_slot_: id  0 | task 25 | processing task, is_child = 0
0.04.151.708 I slot print_timing: id  0 | task 25 | prompt eval time =     257.27 ms /    95 tokens (    2.71 ms per token,   369.26 tokens per second)
0.04.151.712 I slot print_timing: id  0 | task 25 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.04.151.712 I slot print_timing: id  0 | task 25 |       total time =     257.27 ms /    96 tokens
0.04.151.713 I slot print_timing: id  0 | task 25 |    graphs reused =          1
0.04.151.736 I slot      release: id  0 | task 25 | stop processing: n_tokens = 95, truncated = 0
0.04.153.640 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.04.153.676 I slot launch_slot_: id  0 | task 29 | processing task, is_child = 0
0.04.406.453 I slot print_timing: id  0 | task 29 | prompt eval time =     252.76 ms /    95 tokens (    2.66 ms per token,   375.85 tokens per second)
0.04.406.457 I slot print_timing: id  0 | task 29 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
