CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18220 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type ngram-mod --spec-draft-n-max 4
0.00.117.977 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.118.075 I srv          init: The UI is disabled
0.00.118.075 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.118.112 W srv  llama_server: -----------------
0.00.118.112 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.118.113 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.118.113 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.118.113 W srv  llama_server: -----------------
0.00.119.290 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.417.669 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.417.676 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.417.681 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.417.683 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.417.684 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.417.690 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.417.692 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.417.694 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.417.695 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.417.697 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.417.698 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.417.701 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.417.703 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.417.705 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.417.710 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.02.030.454 I cmn          init: llama threadpool init, n_threads = 8
0.02.122.272 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.127.688 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.127.717 I srv  llama_server: model loaded
0.02.127.721 I srv  llama_server: listening on http://127.0.0.1:18220
0.02.328.668 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.328.741 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.564.731 I slot print_timing: id  0 | task 0 | prompt eval time =     176.87 ms /    25 tokens (    7.07 ms per token,   141.35 tokens per second)
0.02.564.737 I slot print_timing: id  0 | task 0 |        eval time =      59.10 ms /     3 tokens (   29.55 ms per token,    33.84 tokens per second)
0.02.564.737 I slot print_timing: id  0 | task 0 |       total time =     235.97 ms /    28 tokens
0.02.564.740 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.02.564.776 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.02.567.240 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 139004405742
0.02.637.417 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.02.822.828 I slot print_timing: id  0 | task 6 | prompt eval time =     185.39 ms /    95 tokens (    1.95 ms per token,   512.43 tokens per second)
0.02.822.833 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.822.834 I slot print_timing: id  0 | task 6 |       total time =     185.39 ms /    96 tokens
0.02.822.834 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.02.822.857 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.02.825.020 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.825.060 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.03.010.130 I slot print_timing: id  0 | task 10 | prompt eval time =     185.05 ms /    95 tokens (    1.95 ms per token,   513.36 tokens per second)
0.03.010.134 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.010.134 I slot print_timing: id  0 | task 10 |       total time =     185.06 ms /    96 tokens
0.03.010.135 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.03.010.158 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.03.013.018 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.013.055 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.03.199.195 I slot print_timing: id  0 | task 14 | prompt eval time =     186.13 ms /    95 tokens (    1.96 ms per token,   510.40 tokens per second)
0.03.199.199 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.199.200 I slot print_timing: id  0 | task 14 |       total time =     186.13 ms /    96 tokens
0.03.199.200 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.03.199.222 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.03.201.068 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.201.103 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.03.384.640 I slot print_timing: id  0 | task 18 | prompt eval time =     183.52 ms /    95 tokens (    1.93 ms per token,   517.64 tokens per second)
0.03.384.644 I slot print_timing: id  0 | task 18 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.384.644 I slot print_timing: id  0 | task 18 |       total time =     183.53 ms /    96 tokens
0.03.384.645 I slot print_timing: id  0 | task 18 |    graphs reused =          2
0.03.384.668 I slot      release: id  0 | task 18 | stop processing: n_tokens = 95, truncated = 0
0.03.386.762 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.386.796 I slot launch_slot_: id  0 | task 22 | processing task, is_child = 0
0.03.572.045 I slot print_timing: id  0 | task 22 | prompt eval time =     185.24 ms /    95 tokens (    1.95 ms per token,   512.86 tokens per second)
0.03.572.049 I slot print_timing: id  0 | task 22 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.572.050 I slot print_timing: id  0 | task 22 |       total time =     185.24 ms /    96 tokens
0.03.572.050 I slot print_timing: id  0 | task 22 |    graphs reused =          2
0.03.572.071 I slot      release: id  0 | task 22 | stop processing: n_tokens = 95, truncated = 0
0.03.574.288 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.574.323 I slot launch_slot_: id  0 | task 26 | processing task, is_child = 0
0.03.759.820 I slot print_timing: id  0 | task 26 | prompt eval time =     185.49 ms /    95 tokens (    1.95 ms per token,   512.17 tokens per second)
0.03.759.823 I slot print_timing: id  0 | task 26 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.759.824 I slot print_timing: id  0 | task 26 |       total time =     185.49 ms /    96 tokens
0.03.759.824 I slot print_timing: id  0 | task 26 |    graphs reused =          2
0.03.759.848 I slot      release: id  0 | task 26 | stop processing: n_tokens = 95, truncated = 0
0.03.761.699 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.761.736 I slot launch_slot_: id  0 | task 30 | processing task, is_child = 0
0.03.946.115 I slot print_timing: id  0 | task 30 | prompt eval time =     184.37 ms /    95 tokens (    1.94 ms per token,   515.27 tokens per second)
0.03.946.119 I slot print_timing: id  0 | task 30 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.946.120 I slot print_timing: id  0 | task 30 |       total time =     184.37 ms /    96 tokens
0.03.946.120 I slot print_timing: id  0 | task 30 |    graphs reused =          2
0.03.946.143 I slot      release: id  0 | task 30 | stop processing: n_tokens = 95, truncated = 0
0.03.948.272 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.948.306 I slot launch_slot_: id  0 | task 34 | processing task, is_child = 0
0.04.133.370 I slot print_timing: id  0 | task 34 | prompt eval time =     185.05 ms /    95 tokens (    1.95 ms per token,   513.37 tokens per second)
