CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18240 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.192.422 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.192.495 I srv          init: The UI is disabled
0.00.192.495 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.193.714 W srv  llama_server: -----------------
0.00.193.717 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.193.717 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.193.717 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.193.717 W srv  llama_server: -----------------
0.00.194.911 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.527.185 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.527.191 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.527.200 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.527.202 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.527.204 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.527.210 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.527.212 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.527.213 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.527.215 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.527.217 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.527.219 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.527.221 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.527.223 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.527.225 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.527.230 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.08.498.927 I cmn          init: llama threadpool init, n_threads = 8
0.08.590.951 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.08.594.420 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.08.594.465 I srv  llama_server: model loaded
0.08.594.470 I srv  llama_server: listening on http://127.0.0.1:18240
0.08.782.218 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.08.782.312 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.09.008.868 I slot print_timing: id  0 | task 0 | prompt eval time =     169.11 ms /    25 tokens (    6.76 ms per token,   147.84 tokens per second)
0.09.008.873 I slot print_timing: id  0 | task 0 |        eval time =      57.42 ms /     3 tokens (   28.71 ms per token,    34.83 tokens per second)
0.09.008.873 I slot print_timing: id  0 | task 0 |       total time =     226.53 ms /    28 tokens
0.09.008.876 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.09.008.901 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.09.011.144 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 199047035537
0.09.082.640 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.09.267.579 I slot print_timing: id  0 | task 6 | prompt eval time =     184.92 ms /    95 tokens (    1.95 ms per token,   513.74 tokens per second)
0.09.267.584 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.09.267.584 I slot print_timing: id  0 | task 6 |       total time =     184.92 ms /    96 tokens
0.09.267.585 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.09.267.602 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.09.269.379 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.09.269.417 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.09.456.258 I slot print_timing: id  0 | task 10 | prompt eval time =     186.83 ms /    95 tokens (    1.97 ms per token,   508.49 tokens per second)
0.09.456.262 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.09.456.263 I slot print_timing: id  0 | task 10 |       total time =     186.83 ms /    96 tokens
0.09.456.263 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.09.456.281 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.09.458.316 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.09.458.358 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.09.647.207 I slot print_timing: id  0 | task 14 | prompt eval time =     188.83 ms /    95 tokens (    1.99 ms per token,   503.10 tokens per second)
0.09.647.211 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.09.647.211 I slot print_timing: id  0 | task 14 |       total time =     188.83 ms /    96 tokens
0.09.647.212 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.09.647.230 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.09.649.135 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.09.649.184 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
