CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18150 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.122.414 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.122.483 I srv          init: The UI is disabled
0.00.122.485 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.122.521 W srv  llama_server: -----------------
0.00.122.522 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.122.522 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.122.523 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.122.523 W srv  llama_server: -----------------
0.00.123.776 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.440.685 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.440.693 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.440.697 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.440.699 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.440.700 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.440.706 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.440.708 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.440.709 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.440.711 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.440.712 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.440.714 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.440.716 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.440.718 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.440.720 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.440.725 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.938.240 I cmn          init: llama threadpool init, n_threads = 8
0.02.030.396 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.033.739 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.033.774 I srv  llama_server: model loaded
0.02.033.777 I srv  llama_server: listening on http://127.0.0.1:18150
0.02.285.424 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.285.468 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.507.452 I slot print_timing: id  0 | task 0 | prompt eval time =     165.06 ms /    25 tokens (    6.60 ms per token,   151.46 tokens per second)
0.02.507.457 I slot print_timing: id  0 | task 0 |        eval time =      56.91 ms /     3 tokens (   28.45 ms per token,    35.14 tokens per second)
0.02.507.458 I slot print_timing: id  0 | task 0 |       total time =     221.97 ms /    28 tokens
0.02.507.460 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.02.507.508 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.02.510.354 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 80702651492
0.02.580.696 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.02.766.210 I slot print_timing: id  0 | task 6 | prompt eval time =     185.49 ms /    95 tokens (    1.95 ms per token,   512.15 tokens per second)
0.02.766.214 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.766.215 I slot print_timing: id  0 | task 6 |       total time =     185.49 ms /    96 tokens
0.02.766.216 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.02.766.232 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.02.768.101 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.768.137 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.02.951.954 I slot print_timing: id  0 | task 10 | prompt eval time =     183.80 ms /    95 tokens (    1.93 ms per token,   516.86 tokens per second)
0.02.951.960 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.951.960 I slot print_timing: id  0 | task 10 |       total time =     183.80 ms /    96 tokens
0.02.951.961 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.02.951.989 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.02.954.320 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.954.355 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.03.139.354 I slot print_timing: id  0 | task 14 | prompt eval time =     184.99 ms /    95 tokens (    1.95 ms per token,   513.55 tokens per second)
0.03.139.358 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.139.359 I slot print_timing: id  0 | task 14 |       total time =     184.99 ms /    96 tokens
0.03.139.359 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.03.139.374 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.03.141.871 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.141.922 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
