CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18150 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.121.712 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.121.806 I srv          init: The UI is disabled
0.00.121.817 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.121.862 W srv  llama_server: -----------------
0.00.121.864 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.121.864 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.121.864 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.121.864 W srv  llama_server: -----------------
0.00.123.083 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.424.017 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.424.023 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.424.028 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.424.029 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.424.031 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.424.036 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.424.038 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.424.039 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.424.041 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.424.042 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.424.044 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.424.058 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.424.060 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.424.061 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.424.066 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.968.746 I cmn          init: llama threadpool init, n_threads = 8
0.02.129.764 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.133.046 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.133.077 I srv  llama_server: model loaded
0.02.133.081 I srv  llama_server: listening on http://127.0.0.1:18150
0.02.282.209 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.282.252 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.705.307 I slot print_timing: id  0 | task 0 | prompt eval time =     280.84 ms /    25 tokens (   11.23 ms per token,    89.02 tokens per second)
0.02.705.313 I slot print_timing: id  0 | task 0 |        eval time =     142.19 ms /     3 tokens (   71.10 ms per token,    14.07 tokens per second)
0.02.705.313 I slot print_timing: id  0 | task 0 |       total time =     423.03 ms /    28 tokens
0.02.705.317 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.02.705.357 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.02.708.404 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 82712699601
0.02.779.097 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.03.203.022 I slot print_timing: id  0 | task 6 | prompt eval time =     423.91 ms /    95 tokens (    4.46 ms per token,   224.11 tokens per second)
0.03.203.026 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.203.027 I slot print_timing: id  0 | task 6 |       total time =     423.91 ms /    96 tokens
0.03.203.027 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.03.203.044 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.03.205.557 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.205.611 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.03.589.297 I slot print_timing: id  0 | task 10 | prompt eval time =     383.67 ms /    95 tokens (    4.04 ms per token,   247.61 tokens per second)
0.03.589.302 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.589.303 I slot print_timing: id  0 | task 10 |       total time =     383.67 ms /    96 tokens
0.03.589.303 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.03.589.319 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.03.591.274 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.591.308 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.03.983.793 I slot print_timing: id  0 | task 14 | prompt eval time =     392.47 ms /    95 tokens (    4.13 ms per token,   242.05 tokens per second)
0.03.983.796 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.983.797 I slot print_timing: id  0 | task 14 |       total time =     392.47 ms /    96 tokens
0.03.983.797 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.03.983.813 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.03.985.943 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.985.978 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.04.401.240 I slot print_timing: id  0 | task 18 | prompt eval time =     415.25 ms /    95 tokens (    4.37 ms per token,   228.78 tokens per second)
0.04.401.244 I slot print_timing: id  0 | task 18 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.04.401.245 I slot print_timing: id  0 | task 18 |       total time =     415.25 ms /    96 tokens
0.04.401.245 I slot print_timing: id  0 | task 18 |    graphs reused =          2
0.04.401.274 I slot      release: id  0 | task 18 | stop processing: n_tokens = 95, truncated = 0
0.04.403.848 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.04.403.911 I slot launch_slot_: id  0 | task 22 | processing task, is_child = 0
0.04.800.255 I slot print_timing: id  0 | task 22 | prompt eval time =     396.33 ms /    95 tokens (    4.17 ms per token,   239.70 tokens per second)
0.04.800.258 I slot print_timing: id  0 | task 22 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.04.800.259 I slot print_timing: id  0 | task 22 |       total time =     396.33 ms /    96 tokens
0.04.800.260 I slot print_timing: id  0 | task 22 |    graphs reused =          2
0.04.800.275 I slot      release: id  0 | task 22 | stop processing: n_tokens = 95, truncated = 0
0.04.802.518 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.04.802.558 I slot launch_slot_: id  0 | task 26 | processing task, is_child = 0
0.05.206.348 I slot print_timing: id  0 | task 26 | prompt eval time =     403.78 ms /    95 tokens (    4.25 ms per token,   235.28 tokens per second)
0.05.206.353 I slot print_timing: id  0 | task 26 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.05.206.354 I slot print_timing: id  0 | task 26 |       total time =     403.78 ms /    96 tokens
0.05.206.354 I slot print_timing: id  0 | task 26 |    graphs reused =          2
0.05.206.371 I slot      release: id  0 | task 26 | stop processing: n_tokens = 95, truncated = 0
0.05.208.271 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.05.208.309 I slot launch_slot_: id  0 | task 30 | processing task, is_child = 0
0.05.607.321 I slot print_timing: id  0 | task 30 | prompt eval time =     399.00 ms /    95 tokens (    4.20 ms per token,   238.10 tokens per second)
0.05.607.327 I slot print_timing: id  0 | task 30 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.05.607.328 I slot print_timing: id  0 | task 30 |       total time =     399.00 ms /    96 tokens
0.05.607.328 I slot print_timing: id  0 | task 30 |    graphs reused =          2
0.05.607.352 I slot      release: id  0 | task 30 | stop processing: n_tokens = 95, truncated = 0
0.05.609.288 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.05.609.330 I slot launch_slot_: id  0 | task 34 | processing task, is_child = 0
0.06.006.628 I slot print_timing: id  0 | task 34 | prompt eval time =     397.28 ms /    95 tokens (    4.18 ms per token,   239.12 tokens per second)
0.06.006.634 I slot print_timing: id  0 | task 34 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.06.006.634 I slot print_timing: id  0 | task 34 |       total time =     397.28 ms /    96 tokens
0.06.006.635 I slot print_timing: id  0 | task 34 |    graphs reused =          2
0.06.006.662 I slot      release: id  0 | task 34 | stop processing: n_tokens = 95, truncated = 0
0.06.009.253 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.06.009.289 I slot launch_slot_: id  0 | task 38 | processing task, is_child = 0
0.13.897.386 I slot print_timing: id  0 | task 38 | n_gen =    100, tg =  13.24 t/s, tg_3s =  13.37 t/s
0.16.924.742 I slot print_timing: id  0 | task 38 | n_gen =    140, tg =  13.23 t/s, tg_3s =  13.21 t/s
0.19.955.180 I slot print_timing: id  0 | task 38 | n_gen =    180, tg =  13.22 t/s, tg_3s =  13.20 t/s
0.22.978.250 I slot print_timing: id  0 | task 38 | n_gen =    220, tg =  13.22 t/s, tg_3s =  13.23 t/s
0.25.991.793 I slot print_timing: id  0 | task 38 | n_gen =    260, tg =  13.23 t/s, tg_3s =  13.27 t/s
0.29.008.070 I slot print_timing: id  0 | task 38 | n_gen =    300, tg =  13.24 t/s, tg_3s =  13.26 t/s
0.32.033.478 I slot print_timing: id  0 | task 38 | n_gen =    340, tg =  13.23 t/s, tg_3s =  13.22 t/s
0.35.049.348 I slot print_timing: id  0 | task 38 | n_gen =    380, tg =  13.24 t/s, tg_3s =  13.26 t/s
0.36.562.495 I slot print_timing: id  0 | task 38 | prompt eval time =     408.04 ms /    95 tokens (    4.30 ms per token,   232.82 tokens per second)
0.36.562.499 I slot print_timing: id  0 | task 38 |        eval time =   30145.16 ms /   400 tokens (   75.55 ms per token,    13.24 tokens per second)
0.36.562.499 I slot print_timing: id  0 | task 38 |       total time =   30553.20 ms /   495 tokens
0.36.562.500 I slot print_timing: id  0 | task 38 |    graphs reused =        399
0.36.562.515 I slot      release: id  0 | task 38 | stop processing: n_tokens = 494, truncated = 0
0.36.575.716 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 82746556759
0.36.645.437 I slot launch_slot_: id  0 | task 441 | processing task, is_child = 0
0.37.009.419 I slot print_timing: id  0 | task 441 | prompt eval time =     363.96 ms /   100 tokens (    3.64 ms per token,   274.75 tokens per second)
0.37.009.423 I slot print_timing: id  0 | task 441 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.37.009.423 I slot print_timing: id  0 | task 441 |       total time =     363.96 ms /   101 tokens
0.37.009.424 I slot print_timing: id  0 | task 441 |    graphs reused =        399
0.37.009.443 I slot      release: id  0 | task 441 | stop processing: n_tokens = 100, truncated = 0
0.37.011.523 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.37.011.568 I slot launch_slot_: id  0 | task 445 | processing task, is_child = 0
0.37.401.505 I slot print_timing: id  0 | task 445 | prompt eval time =     389.92 ms /   100 tokens (    3.90 ms per token,   256.46 tokens per second)
0.37.401.510 I slot print_timing: id  0 | task 445 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.37.401.510 I slot print_timing: id  0 | task 445 |       total time =     389.92 ms /   101 tokens
0.37.401.511 I slot print_timing: id  0 | task 445 |    graphs reused =        399
0.37.401.532 I slot      release: id  0 | task 445 | stop processing: n_tokens = 100, truncated = 0
0.37.403.467 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.37.403.512 I slot launch_slot_: id  0 | task 449 | processing task, is_child = 0
0.37.828.637 I slot print_timing: id  0 | task 449 | prompt eval time =     425.11 ms /   100 tokens (    4.25 ms per token,   235.23 tokens per second)
0.37.828.643 I slot print_timing: id  0 | task 449 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.37.828.643 I slot print_timing: id  0 | task 449 |       total time =     425.11 ms /   101 tokens
0.37.828.644 I slot print_timing: id  0 | task 449 |    graphs reused =        399
