CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18150 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.070.936 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.071.012 I srv          init: The UI is disabled
0.00.071.015 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.071.051 W srv  llama_server: -----------------
0.00.071.053 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.071.053 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.071.053 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.071.053 W srv  llama_server: -----------------
0.00.072.250 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.365.031 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.365.038 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.365.042 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.365.044 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.365.046 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.365.051 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.365.053 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.365.054 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.365.056 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.365.078 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.365.080 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.365.082 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.365.084 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.365.086 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.365.091 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.894.291 I cmn          init: llama threadpool init, n_threads = 8
0.01.985.803 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.01.988.954 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.01.988.987 I srv  llama_server: model loaded
0.01.988.990 I srv  llama_server: listening on http://127.0.0.1:18150
0.02.216.837 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.216.891 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.436.688 I slot print_timing: id  0 | task 0 | prompt eval time =     163.38 ms /    25 tokens (    6.54 ms per token,   153.02 tokens per second)
0.02.436.692 I slot print_timing: id  0 | task 0 |        eval time =      56.40 ms /     3 tokens (   28.20 ms per token,    35.46 tokens per second)
0.02.436.692 I slot print_timing: id  0 | task 0 |       total time =     219.78 ms /    28 tokens
0.02.436.694 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.02.436.716 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.02.439.752 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 84969491861
0.02.506.257 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.02.687.973 I slot print_timing: id  0 | task 6 | prompt eval time =     181.70 ms /    95 tokens (    1.91 ms per token,   522.85 tokens per second)
0.02.687.978 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.687.979 I slot print_timing: id  0 | task 6 |       total time =     181.70 ms /    96 tokens
0.02.687.979 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.02.687.996 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.02.690.620 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.690.656 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.02.873.394 I slot print_timing: id  0 | task 10 | prompt eval time =     182.73 ms /    95 tokens (    1.92 ms per token,   519.90 tokens per second)
0.02.873.399 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.873.400 I slot print_timing: id  0 | task 10 |       total time =     182.73 ms /    96 tokens
0.02.873.400 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.02.873.416 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.02.876.277 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.876.320 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.03.059.373 I slot print_timing: id  0 | task 14 | prompt eval time =     183.04 ms /    95 tokens (    1.93 ms per token,   519.01 tokens per second)
0.03.059.377 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.059.377 I slot print_timing: id  0 | task 14 |       total time =     183.04 ms /    96 tokens
0.03.059.378 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.03.059.393 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.03.061.464 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.061.510 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
