CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/moe/Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18240 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 7
0.00.193.263 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.193.344 I srv          init: The UI is disabled
0.00.193.346 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.193.383 W srv  llama_server: -----------------
0.00.193.385 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.193.385 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.193.385 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.193.385 W srv  llama_server: -----------------
0.00.194.609 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/moe/Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf'
0.22.649.016 I cmn          init: llama threadpool init, n_threads = 8
0.22.716.219 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/moe/Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf'
0.22.739.941 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.22.828.741 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.22.829.070 I srv  llama_server: model loaded
0.22.829.074 I srv  llama_server: listening on http://127.0.0.1:18240
0.23.320.136 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.23.320.200 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.23.593.525 I slot print_timing: id  0 | task 0 | prompt eval time =     199.77 ms /    25 tokens (    7.99 ms per token,   125.14 tokens per second)
0.23.593.529 I slot print_timing: id  0 | task 0 |        eval time =      73.52 ms /    10 tokens (    8.17 ms per token,   122.42 tokens per second)
0.23.593.529 I slot print_timing: id  0 | task 0 |       total time =     273.29 ms /    35 tokens
0.23.593.532 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.23.593.536 I slot print_timing: id  0 | task 0 | draft acceptance = 0.85714 (   12 accepted /    14 generated), mean len =  7.00
0.23.593.571 I slot      release: id  0 | task 0 | stop processing: n_tokens = 39, truncated = 0
0.23.597.807 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 201849403165
0.23.663.086 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.23.851.080 I slot print_timing: id  0 | task 6 | prompt eval time =     187.98 ms /    95 tokens (    1.98 ms per token,   505.38 tokens per second)
0.23.851.085 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.23.851.085 I slot print_timing: id  0 | task 6 |       total time =     187.98 ms /    96 tokens
0.23.851.086 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.23.851.109 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.23.852.774 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.23.852.812 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.23.994.978 I slot print_timing: id  0 | task 10 | prompt eval time =     142.15 ms /    95 tokens (    1.50 ms per token,   668.30 tokens per second)
