CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/qwen35_9b/Qwen3.5-9B-Q4_K_M.gguf --host 127.0.0.1 --port 18170 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 3
0.00.114.650 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.114.729 I srv          init: The UI is disabled
0.00.114.732 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.114.771 W srv  llama_server: -----------------
0.00.114.773 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.114.773 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.114.773 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.114.773 W srv  llama_server: -----------------
0.00.115.970 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/qwen35_9b/Qwen3.5-9B-Q4_K_M.gguf'
0.01.018.022 I cmn          init: llama threadpool init, n_threads = 8
0.01.058.303 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/qwen35_9b/Qwen3.5-9B-Q4_K_M.gguf'
0.01.076.442 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.01.087.195 I srv  llama_server: model loaded
0.01.087.200 I srv  llama_server: listening on http://127.0.0.1:18170
0.01.611.702 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.01.611.755 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.01.760.679 I slot print_timing: id  0 | task 0 | prompt eval time =      87.77 ms /    25 tokens (    3.51 ms per token,   284.85 tokens per second)
0.01.760.683 I slot print_timing: id  0 | task 0 |        eval time =      61.13 ms /     9 tokens (    7.64 ms per token,   130.86 tokens per second)
0.01.760.683 I slot print_timing: id  0 | task 0 |       total time =     148.90 ms /    34 tokens
0.01.760.686 I slot print_timing: id  0 | task 0 |    graphs reused =          3
0.01.760.688 I slot print_timing: id  0 | task 0 | draft acceptance = 0.77778 (    7 accepted /     9 generated), mean len =  3.33
0.01.760.721 I slot      release: id  0 | task 0 | stop processing: n_tokens = 35, truncated = 0
0.01.762.975 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 259219531552
0.01.787.985 I slot launch_slot_: id  0 | task 7 | processing task, is_child = 0
0.01.902.302 I slot print_timing: id  0 | task 7 | prompt eval time =     114.30 ms /    95 tokens (    1.20 ms per token,   831.15 tokens per second)
0.01.902.306 I slot print_timing: id  0 | task 7 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.01.902.307 I slot print_timing: id  0 | task 7 |       total time =     114.30 ms /    96 tokens
0.01.902.308 I slot print_timing: id  0 | task 7 |    graphs reused =          3
0.01.902.332 I slot      release: id  0 | task 7 | stop processing: n_tokens = 95, truncated = 0
0.01.904.053 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.01.904.092 I slot launch_slot_: id  0 | task 11 | processing task, is_child = 0
0.01.982.161 I slot print_timing: id  0 | task 11 | prompt eval time =      78.06 ms /    95 tokens (    0.82 ms per token,  1217.07 tokens per second)
0.01.982.165 I slot print_timing: id  0 | task 11 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.01.982.166 I slot print_timing: id  0 | task 11 |       total time =      78.06 ms /    96 tokens
0.01.982.166 I slot print_timing: id  0 | task 11 |    graphs reused =          3
0.01.982.189 I slot      release: id  0 | task 11 | stop processing: n_tokens = 95, truncated = 0
0.01.984.087 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.01.984.124 I slot launch_slot_: id  0 | task 15 | processing task, is_child = 0
0.02.062.704 I slot print_timing: id  0 | task 15 | prompt eval time =      78.57 ms /    95 tokens (    0.83 ms per token,  1209.13 tokens per second)
0.02.062.709 I slot print_timing: id  0 | task 15 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.062.709 I slot print_timing: id  0 | task 15 |       total time =      78.57 ms /    96 tokens
0.02.062.709 I slot print_timing: id  0 | task 15 |    graphs reused =          3
0.02.062.734 I slot      release: id  0 | task 15 | stop processing: n_tokens = 95, truncated = 0
0.02.064.354 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.064.387 I slot launch_slot_: id  0 | task 19 | processing task, is_child = 0
0.02.143.168 I slot print_timing: id  0 | task 19 | prompt eval time =      78.77 ms /    95 tokens (    0.83 ms per token,  1206.06 tokens per second)
0.02.143.173 I slot print_timing: id  0 | task 19 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.143.174 I slot print_timing: id  0 | task 19 |       total time =      78.77 ms /    96 tokens
0.02.143.175 I slot print_timing: id  0 | task 19 |    graphs reused =          3
0.02.143.199 I slot      release: id  0 | task 19 | stop processing: n_tokens = 95, truncated = 0
0.02.145.389 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.145.427 I slot launch_slot_: id  0 | task 23 | processing task, is_child = 0
0.02.224.113 I slot print_timing: id  0 | task 23 | prompt eval time =      78.67 ms /    95 tokens (    0.83 ms per token,  1207.53 tokens per second)
0.02.224.117 I slot print_timing: id  0 | task 23 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.224.118 I slot print_timing: id  0 | task 23 |       total time =      78.67 ms /    96 tokens
0.02.224.118 I slot print_timing: id  0 | task 23 |    graphs reused =          3
0.02.224.141 I slot      release: id  0 | task 23 | stop processing: n_tokens = 95, truncated = 0
0.02.226.003 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.226.036 I slot launch_slot_: id  0 | task 27 | processing task, is_child = 0
0.02.305.042 I slot print_timing: id  0 | task 27 | prompt eval time =      78.99 ms /    95 tokens (    0.83 ms per token,  1202.62 tokens per second)
0.02.305.046 I slot print_timing: id  0 | task 27 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.305.047 I slot print_timing: id  0 | task 27 |       total time =      79.00 ms /    96 tokens
0.02.305.047 I slot print_timing: id  0 | task 27 |    graphs reused =          3
0.02.305.072 I slot      release: id  0 | task 27 | stop processing: n_tokens = 95, truncated = 0
0.02.307.430 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.307.469 I slot launch_slot_: id  0 | task 31 | processing task, is_child = 0
