CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/qwen35_9b/Qwen3.5-9B-BF16.gguf --host 127.0.0.1 --port 18170 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 6
0.00.118.990 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.119.072 I srv          init: The UI is disabled
0.00.119.078 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.119.113 W srv  llama_server: -----------------
0.00.119.115 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.119.115 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.119.115 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.119.116 W srv  llama_server: -----------------
0.00.120.304 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/qwen35_9b/Qwen3.5-9B-BF16.gguf'
0.05.728.355 I cmn          init: llama threadpool init, n_threads = 8
0.05.772.162 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/qwen35_9b/Qwen3.5-9B-BF16.gguf'
0.05.802.730 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.05.814.610 I srv  llama_server: model loaded
0.05.814.616 I srv  llama_server: listening on http://127.0.0.1:18170
0.06.054.153 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.06.054.202 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.06.259.018 I slot print_timing: id  0 | task 0 | prompt eval time =     101.11 ms /    25 tokens (    4.04 ms per token,   247.27 tokens per second)
0.06.259.022 I slot print_timing: id  0 | task 0 |        eval time =     103.69 ms /     8 tokens (   14.81 ms per token,    67.51 tokens per second)
0.06.259.022 I slot print_timing: id  0 | task 0 |       total time =     204.79 ms /    33 tokens
0.06.259.025 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.06.259.027 I slot print_timing: id  0 | task 0 | draft acceptance = 0.83333 (   10 accepted /    12 generated), mean len =  6.00
0.06.259.062 I slot      release: id  0 | task 0 | stop processing: n_tokens = 37, truncated = 0
0.06.261.348 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 256512396101
0.06.286.538 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.06.437.479 I slot print_timing: id  0 | task 6 | prompt eval time =     150.93 ms /    95 tokens (    1.59 ms per token,   629.45 tokens per second)
0.06.437.483 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.06.437.483 I slot print_timing: id  0 | task 6 |       total time =     150.93 ms /    96 tokens
0.06.437.484 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.06.437.508 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.06.439.352 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.06.439.388 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.06.547.939 I slot print_timing: id  0 | task 10 | prompt eval time =     108.54 ms /    95 tokens (    1.14 ms per token,   875.26 tokens per second)
0.06.547.943 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.06.547.943 I slot print_timing: id  0 | task 10 |       total time =     108.54 ms /    96 tokens
0.06.547.944 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.06.547.967 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.06.550.133 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.06.550.166 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.06.659.520 I slot print_timing: id  0 | task 14 | prompt eval time =     109.34 ms /    95 tokens (    1.15 ms per token,   868.82 tokens per second)
0.06.659.524 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.06.659.525 I slot print_timing: id  0 | task 14 |       total time =     109.34 ms /    96 tokens
0.06.659.525 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.06.659.549 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.06.661.522 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.06.661.555 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.06.770.711 I slot print_timing: id  0 | task 18 | prompt eval time =     109.14 ms /    95 tokens (    1.15 ms per token,   870.41 tokens per second)
0.06.770.715 I slot print_timing: id  0 | task 18 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.06.770.715 I slot print_timing: id  0 | task 18 |       total time =     109.15 ms /    96 tokens
0.06.770.716 I slot print_timing: id  0 | task 18 |    graphs reused =          2
0.06.770.739 I slot      release: id  0 | task 18 | stop processing: n_tokens = 95, truncated = 0
0.06.772.620 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.06.772.659 I slot launch_slot_: id  0 | task 22 | processing task, is_child = 0
0.06.881.406 I slot print_timing: id  0 | task 22 | prompt eval time =     108.74 ms /    95 tokens (    1.14 ms per token,   873.67 tokens per second)
0.06.881.409 I slot print_timing: id  0 | task 22 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.06.881.410 I slot print_timing: id  0 | task 22 |       total time =     108.74 ms /    96 tokens
0.06.881.410 I slot print_timing: id  0 | task 22 |    graphs reused =          2
0.06.881.432 I slot      release: id  0 | task 22 | stop processing: n_tokens = 95, truncated = 0
0.06.883.263 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.06.883.296 I slot launch_slot_: id  0 | task 26 | processing task, is_child = 0
0.06.992.808 I slot print_timing: id  0 | task 26 | prompt eval time =     109.50 ms /    95 tokens (    1.15 ms per token,   867.56 tokens per second)
0.06.992.812 I slot print_timing: id  0 | task 26 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.06.992.812 I slot print_timing: id  0 | task 26 |       total time =     109.50 ms /    96 tokens
0.06.992.813 I slot print_timing: id  0 | task 26 |    graphs reused =          2
0.06.992.835 I slot      release: id  0 | task 26 | stop processing: n_tokens = 95, truncated = 0
0.06.995.357 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.06.995.415 I slot launch_slot_: id  0 | task 30 | processing task, is_child = 0
0.07.103.934 I slot print_timing: id  0 | task 30 | prompt eval time =     108.51 ms /    95 tokens (    1.14 ms per token,   875.51 tokens per second)
0.07.103.937 I slot print_timing: id  0 | task 30 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.07.103.938 I slot print_timing: id  0 | task 30 |       total time =     108.51 ms /    96 tokens
0.07.103.938 I slot print_timing: id  0 | task 30 |    graphs reused =          2
0.07.103.960 I slot      release: id  0 | task 30 | stop processing: n_tokens = 95, truncated = 0
0.07.105.563 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.07.105.599 I slot launch_slot_: id  0 | task 34 | processing task, is_child = 0
0.07.214.765 I slot print_timing: id  0 | task 34 | prompt eval time =     109.15 ms /    95 tokens (    1.15 ms per token,   870.34 tokens per second)
0.07.214.769 I slot print_timing: id  0 | task 34 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.07.214.770 I slot print_timing: id  0 | task 34 |       total time =     109.15 ms /    96 tokens
0.07.214.770 I slot print_timing: id  0 | task 34 |    graphs reused =          2
0.07.214.794 I slot      release: id  0 | task 34 | stop processing: n_tokens = 95, truncated = 0
0.07.226.725 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.07.226.768 I slot launch_slot_: id  0 | task 38 | processing task, is_child = 0
0.10.339.500 I slot print_timing: id  0 | task 38 | n_gen =    311, tg = 103.23 t/s, tg_3s = 103.56 t/s
0.11.145.282 I slot print_timing: id  0 | task 38 | prompt eval time =     109.76 ms /    95 tokens (    1.16 ms per token,   865.53 tokens per second)
0.11.145.285 I slot print_timing: id  0 | task 38 |        eval time =    3808.74 ms /   400 tokens (    9.55 ms per token,   104.76 tokens per second)
0.11.145.286 I slot print_timing: id  0 | task 38 |       total time =    3918.49 ms /   495 tokens
0.11.145.286 I slot print_timing: id  0 | task 38 |    graphs reused =         89
0.11.145.289 I slot print_timing: id  0 | task 38 | draft acceptance = 0.57757 (  309 accepted /   535 generated), mean len =  4.43
0.11.145.312 I slot      release: id  0 | task 38 | stop processing: n_tokens = 494, truncated = 0
0.11.174.252 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 256517282350
0.11.200.361 I slot launch_slot_: id  0 | task 132 | processing task, is_child = 0
0.11.311.300 I slot print_timing: id  0 | task 132 | prompt eval time =     110.92 ms /   100 tokens (    1.11 ms per token,   901.53 tokens per second)
0.11.311.304 I slot print_timing: id  0 | task 132 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.11.311.305 I slot print_timing: id  0 | task 132 |       total time =     110.92 ms /   101 tokens
0.11.311.305 I slot print_timing: id  0 | task 132 |    graphs reused =         89
0.11.311.341 I slot      release: id  0 | task 132 | stop processing: n_tokens = 100, truncated = 0
0.11.313.803 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.11.313.840 I slot launch_slot_: id  0 | task 136 | processing task, is_child = 0
0.11.422.958 I slot print_timing: id  0 | task 136 | prompt eval time =     109.11 ms /   100 tokens (    1.09 ms per token,   916.55 tokens per second)
0.11.422.968 I slot print_timing: id  0 | task 136 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.11.422.968 I slot print_timing: id  0 | task 136 |       total time =     109.11 ms /   101 tokens
0.11.422.970 I slot print_timing: id  0 | task 136 |    graphs reused =         89
0.11.422.994 I slot      release: id  0 | task 136 | stop processing: n_tokens = 100, truncated = 0
0.11.424.972 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.11.425.013 I slot launch_slot_: id  0 | task 140 | processing task, is_child = 0
0.11.533.638 I slot print_timing: id  0 | task 140 | prompt eval time =     108.61 ms /   100 tokens (    1.09 ms per token,   920.70 tokens per second)
0.11.533.642 I slot print_timing: id  0 | task 140 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.11.533.642 I slot print_timing: id  0 | task 140 |       total time =     108.61 ms /   101 tokens
0.11.533.643 I slot print_timing: id  0 | task 140 |    graphs reused =         89
0.11.533.667 I slot      release: id  0 | task 140 | stop processing: n_tokens = 100, truncated = 0
0.11.536.014 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.11.536.063 I slot launch_slot_: id  0 | task 144 | processing task, is_child = 0
0.11.644.310 I slot print_timing: id  0 | task 144 | prompt eval time =     108.23 ms /   100 tokens (    1.08 ms per token,   923.93 tokens per second)
0.11.644.314 I slot print_timing: id  0 | task 144 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.11.644.315 I slot print_timing: id  0 | task 144 |       total time =     108.23 ms /   101 tokens
0.11.644.315 I slot print_timing: id  0 | task 144 |    graphs reused =         89
0.11.644.339 I slot      release: id  0 | task 144 | stop processing: n_tokens = 100, truncated = 0
0.11.646.189 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.11.646.226 I slot launch_slot_: id  0 | task 148 | processing task, is_child = 0
0.11.755.500 I slot print_timing: id  0 | task 148 | prompt eval time =     109.26 ms /   100 tokens (    1.09 ms per token,   915.22 tokens per second)
0.11.755.504 I slot print_timing: id  0 | task 148 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.11.755.505 I slot print_timing: id  0 | task 148 |       total time =     109.26 ms /   101 tokens
0.11.755.505 I slot print_timing: id  0 | task 148 |    graphs reused =         89
