CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18230 -ngl 999 -c 86016 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.143.899 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.145.382 I srv          init: The UI is disabled
0.00.145.384 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.145.708 W srv  llama_server: -----------------
0.00.145.710 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.145.710 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.145.710 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.145.710 W srv  llama_server: -----------------
0.00.146.935 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.494.434 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.494.440 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.494.445 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.494.447 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.494.448 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.494.454 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.494.456 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.494.457 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.494.459 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.494.461 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.494.462 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.494.465 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.494.467 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.494.468 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.494.473 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.15.294.419 I cmn          init: llama threadpool init, n_threads = 8
0.15.406.888 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 86016, kv_unified = 'false'
0.15.414.348 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.15.414.383 I srv  llama_server: model loaded
0.15.414.385 I srv  llama_server: listening on http://127.0.0.1:18230
0.17.070.309 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.17.070.376 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.17.319.841 I slot print_timing: id  0 | task 0 | prompt eval time =     189.04 ms /    25 tokens (    7.56 ms per token,   132.25 tokens per second)
0.17.319.846 I slot print_timing: id  0 | task 0 |        eval time =      60.39 ms /     3 tokens (   30.20 ms per token,    33.12 tokens per second)
0.17.319.847 I slot print_timing: id  0 | task 0 |       total time =     249.44 ms /    28 tokens
0.17.319.850 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.17.319.886 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.17.406.413 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 174320078164
0.17.484.361 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.21.712.133 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =   6154, progress = 0.08, t =   4.23 s / 1455.62 tokens per second
0.23.219.282 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =   8202, progress = 0.10, t =   5.73 s / 1430.19 tokens per second
0.24.760.014 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  10250, progress = 0.12, t =   7.28 s / 1408.81 tokens per second
0.26.334.558 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  12298, progress = 0.15, t =   8.85 s / 1389.58 tokens per second
0.27.941.319 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  14346, progress = 0.17, t =  10.46 s / 1371.91 tokens per second
0.29.582.479 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  16394, progress = 0.20, t =  12.10 s / 1355.09 tokens per second
0.31.257.457 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  18442, progress = 0.22, t =  13.77 s / 1338.99 tokens per second
0.32.966.751 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  20490, progress = 0.25, t =  15.48 s / 1323.44 tokens per second
0.34.709.969 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  22538, progress = 0.27, t =  17.23 s / 1308.40 tokens per second
0.36.487.767 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  24586, progress = 0.30, t =  19.00 s / 1293.77 tokens per second
0.38.298.362 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  26634, progress = 0.32, t =  20.81 s / 1279.62 tokens per second
0.40.143.665 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  28682, progress = 0.35, t =  22.66 s / 1265.79 tokens per second
0.42.026.808 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  30730, progress = 0.37, t =  24.54 s / 1252.12 tokens per second
0.43.943.328 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  32778, progress = 0.40, t =  26.46 s / 1238.83 tokens per second
0.45.893.193 I slot print_timing: id  0 | task 6 | prompt processing, n_tokens =  34826, progress = 0.42, t =  28.41 s / 1225.89 tokens per second
