CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18150 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.120.766 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.120.830 I srv          init: The UI is disabled
0.00.120.831 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.120.864 W srv  llama_server: -----------------
0.00.120.864 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.120.864 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.120.864 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.120.864 W srv  llama_server: -----------------
0.00.122.061 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.418.041 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.418.047 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.418.051 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.418.053 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.418.055 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.418.061 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.418.063 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.418.064 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.418.066 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.418.068 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.418.070 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.418.079 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.418.081 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.418.082 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.418.088 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.918.110 I cmn          init: llama threadpool init, n_threads = 8
0.02.015.706 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.018.841 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.018.870 I srv  llama_server: model loaded
0.02.018.873 I srv  llama_server: listening on http://127.0.0.1:18150
0.02.266.812 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.266.857 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.503.127 I slot print_timing: id  0 | task 0 | prompt eval time =     171.40 ms /    25 tokens (    6.86 ms per token,   145.86 tokens per second)
0.02.503.131 I slot print_timing: id  0 | task 0 |        eval time =      64.85 ms /     3 tokens (   32.42 ms per token,    30.84 tokens per second)
0.02.503.132 I slot print_timing: id  0 | task 0 |       total time =     236.25 ms /    28 tokens
0.02.503.135 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.02.503.159 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.02.506.547 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 87389047853
0.02.573.038 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.02.777.974 I slot print_timing: id  0 | task 6 | prompt eval time =     204.92 ms /    95 tokens (    2.16 ms per token,   463.60 tokens per second)
0.02.777.978 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.777.978 I slot print_timing: id  0 | task 6 |       total time =     204.92 ms /    96 tokens
0.02.777.979 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.02.777.993 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.02.780.805 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.780.862 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.02.994.374 I slot print_timing: id  0 | task 10 | prompt eval time =     213.50 ms /    95 tokens (    2.25 ms per token,   444.96 tokens per second)
0.02.994.378 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.994.379 I slot print_timing: id  0 | task 10 |       total time =     213.50 ms /    96 tokens
0.02.994.379 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.02.994.393 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.02.996.634 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.996.664 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.03.211.311 I slot print_timing: id  0 | task 14 | prompt eval time =     214.63 ms /    95 tokens (    2.26 ms per token,   442.62 tokens per second)
0.03.211.315 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.211.316 I slot print_timing: id  0 | task 14 |       total time =     214.63 ms /    96 tokens
0.03.211.316 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.03.211.331 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.03.213.340 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.213.379 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.03.430.336 I slot print_timing: id  0 | task 18 | prompt eval time =     216.95 ms /    95 tokens (    2.28 ms per token,   437.90 tokens per second)
0.03.430.341 I slot print_timing: id  0 | task 18 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.430.341 I slot print_timing: id  0 | task 18 |       total time =     216.95 ms /    96 tokens
0.03.430.342 I slot print_timing: id  0 | task 18 |    graphs reused =          2
0.03.430.357 I slot      release: id  0 | task 18 | stop processing: n_tokens = 95, truncated = 0
0.03.432.395 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.432.446 I slot launch_slot_: id  0 | task 22 | processing task, is_child = 0
0.03.651.556 I slot print_timing: id  0 | task 22 | prompt eval time =     219.09 ms /    95 tokens (    2.31 ms per token,   433.60 tokens per second)
0.03.651.560 I slot print_timing: id  0 | task 22 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.651.561 I slot print_timing: id  0 | task 22 |       total time =     219.10 ms /    96 tokens
0.03.651.561 I slot print_timing: id  0 | task 22 |    graphs reused =          2
0.03.651.576 I slot      release: id  0 | task 22 | stop processing: n_tokens = 95, truncated = 0
0.03.653.619 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.653.652 I slot launch_slot_: id  0 | task 26 | processing task, is_child = 0
0.03.874.592 I slot print_timing: id  0 | task 26 | prompt eval time =     220.92 ms /    95 tokens (    2.33 ms per token,   430.03 tokens per second)
0.03.874.596 I slot print_timing: id  0 | task 26 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.874.596 I slot print_timing: id  0 | task 26 |       total time =     220.92 ms /    96 tokens
0.03.874.597 I slot print_timing: id  0 | task 26 |    graphs reused =          2
0.03.874.611 I slot      release: id  0 | task 26 | stop processing: n_tokens = 95, truncated = 0
0.03.876.809 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.876.844 I slot launch_slot_: id  0 | task 30 | processing task, is_child = 0
0.04.091.868 I slot print_timing: id  0 | task 30 | prompt eval time =     215.00 ms /    95 tokens (    2.26 ms per token,   441.86 tokens per second)
0.04.091.872 I slot print_timing: id  0 | task 30 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.04.091.872 I slot print_timing: id  0 | task 30 |       total time =     215.00 ms /    96 tokens
0.04.091.873 I slot print_timing: id  0 | task 30 |    graphs reused =          2
0.04.091.886 I slot      release: id  0 | task 30 | stop processing: n_tokens = 95, truncated = 0
0.04.093.957 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.04.093.990 I slot launch_slot_: id  0 | task 34 | processing task, is_child = 0
0.04.308.653 I slot print_timing: id  0 | task 34 | prompt eval time =     214.65 ms /    95 tokens (    2.26 ms per token,   442.58 tokens per second)
0.04.308.658 I slot print_timing: id  0 | task 34 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.04.308.658 I slot print_timing: id  0 | task 34 |       total time =     214.65 ms /    96 tokens
0.04.308.659 I slot print_timing: id  0 | task 34 |    graphs reused =          2
0.04.308.676 I slot      release: id  0 | task 34 | stop processing: n_tokens = 95, truncated = 0
0.04.310.847 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.04.310.881 I slot launch_slot_: id  0 | task 38 | processing task, is_child = 0
0.07.790.639 I slot print_timing: id  0 | task 38 | n_gen =    100, tg =  30.31 t/s, tg_3s =  30.61 t/s
0.10.802.936 I slot print_timing: id  0 | task 38 | n_gen =    191, tg =  30.26 t/s, tg_3s =  30.21 t/s
0.13.826.020 I slot print_timing: id  0 | task 38 | n_gen =    282, tg =  30.21 t/s, tg_3s =  30.10 t/s
0.16.847.957 I slot print_timing: id  0 | task 38 | n_gen =    373, tg =  30.19 t/s, tg_3s =  30.11 t/s
0.17.747.287 I slot print_timing: id  0 | task 38 | prompt eval time =     213.21 ms /    95 tokens (    2.24 ms per token,   445.58 tokens per second)
0.17.747.291 I slot print_timing: id  0 | task 38 |        eval time =   13223.19 ms /   400 tokens (   33.14 ms per token,    30.17 tokens per second)
0.17.747.291 I slot print_timing: id  0 | task 38 |       total time =   13436.40 ms /   495 tokens
0.17.747.291 I slot print_timing: id  0 | task 38 |    graphs reused =        399
0.17.747.310 I slot      release: id  0 | task 38 | stop processing: n_tokens = 494, truncated = 0
0.17.769.640 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 87404292004
0.17.841.825 I slot launch_slot_: id  0 | task 441 | processing task, is_child = 0
0.18.050.582 I slot print_timing: id  0 | task 441 | prompt eval time =     208.74 ms /   100 tokens (    2.09 ms per token,   479.07 tokens per second)
0.18.050.586 I slot print_timing: id  0 | task 441 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.18.050.586 I slot print_timing: id  0 | task 441 |       total time =     208.74 ms /   101 tokens
0.18.050.587 I slot print_timing: id  0 | task 441 |    graphs reused =        399
0.18.050.620 I slot      release: id  0 | task 441 | stop processing: n_tokens = 100, truncated = 0
0.18.052.916 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.18.052.953 I slot launch_slot_: id  0 | task 445 | processing task, is_child = 0
0.18.269.526 I slot print_timing: id  0 | task 445 | prompt eval time =     216.56 ms /   100 tokens (    2.17 ms per token,   461.77 tokens per second)
0.18.269.531 I slot print_timing: id  0 | task 445 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.18.269.531 I slot print_timing: id  0 | task 445 |       total time =     216.56 ms /   101 tokens
0.18.269.532 I slot print_timing: id  0 | task 445 |    graphs reused =        399
0.18.269.548 I slot      release: id  0 | task 445 | stop processing: n_tokens = 100, truncated = 0
0.18.271.705 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.18.271.737 I slot launch_slot_: id  0 | task 449 | processing task, is_child = 0
0.18.487.833 I slot print_timing: id  0 | task 449 | prompt eval time =     216.08 ms /   100 tokens (    2.16 ms per token,   462.79 tokens per second)
0.18.487.838 I slot print_timing: id  0 | task 449 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.18.487.838 I slot print_timing: id  0 | task 449 |       total time =     216.08 ms /   101 tokens
0.18.487.839 I slot print_timing: id  0 | task 449 |    graphs reused =        399
0.18.487.856 I slot      release: id  0 | task 449 | stop processing: n_tokens = 100, truncated = 0
0.18.489.792 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.18.489.828 I slot launch_slot_: id  0 | task 453 | processing task, is_child = 0
0.18.707.636 I slot print_timing: id  0 | task 453 | prompt eval time =     217.79 ms /   100 tokens (    2.18 ms per token,   459.15 tokens per second)
0.18.707.640 I slot print_timing: id  0 | task 453 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.18.707.640 I slot print_timing: id  0 | task 453 |       total time =     217.79 ms /   101 tokens
0.18.707.641 I slot print_timing: id  0 | task 453 |    graphs reused =        399
0.18.707.655 I slot      release: id  0 | task 453 | stop processing: n_tokens = 100, truncated = 0
0.18.710.021 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.18.710.071 I slot launch_slot_: id  0 | task 457 | processing task, is_child = 0
0.18.932.121 I slot print_timing: id  0 | task 457 | prompt eval time =     222.04 ms /   100 tokens (    2.22 ms per token,   450.37 tokens per second)
0.18.932.126 I slot print_timing: id  0 | task 457 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.18.932.126 I slot print_timing: id  0 | task 457 |       total time =     222.04 ms /   101 tokens
0.18.932.127 I slot print_timing: id  0 | task 457 |    graphs reused =        399
0.18.932.144 I slot      release: id  0 | task 457 | stop processing: n_tokens = 100, truncated = 0
0.18.934.823 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.18.934.862 I slot launch_slot_: id  0 | task 461 | processing task, is_child = 0
0.19.151.605 I slot print_timing: id  0 | task 461 | prompt eval time =     216.73 ms /   100 tokens (    2.17 ms per token,   461.41 tokens per second)
0.19.151.609 I slot print_timing: id  0 | task 461 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.19.151.609 I slot print_timing: id  0 | task 461 |       total time =     216.73 ms /   101 tokens
0.19.151.610 I slot print_timing: id  0 | task 461 |    graphs reused =        399
0.19.151.626 I slot      release: id  0 | task 461 | stop processing: n_tokens = 100, truncated = 0
0.19.153.873 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.19.153.907 I slot launch_slot_: id  0 | task 465 | processing task, is_child = 0
0.19.370.685 I slot print_timing: id  0 | task 465 | prompt eval time =     216.77 ms /   100 tokens (    2.17 ms per token,   461.32 tokens per second)
0.19.370.689 I slot print_timing: id  0 | task 465 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.19.370.689 I slot print_timing: id  0 | task 465 |       total time =     216.77 ms /   101 tokens
0.19.370.690 I slot print_timing: id  0 | task 465 |    graphs reused =        399
0.19.370.705 I slot      release: id  0 | task 465 | stop processing: n_tokens = 100, truncated = 0
0.19.373.018 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.19.373.057 I slot launch_slot_: id  0 | task 469 | processing task, is_child = 0
