CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18210 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.084.075 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.084.195 I srv          init: The UI is disabled
0.00.084.199 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.084.256 W srv  llama_server: -----------------
0.00.084.259 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.084.260 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.084.260 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.084.260 W srv  llama_server: -----------------
0.00.085.517 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.394.007 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.394.013 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.394.017 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.394.019 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.394.021 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.394.026 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.394.028 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.394.030 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.394.031 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.394.034 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.394.041 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.394.044 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.394.047 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.394.049 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.394.056 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.966.586 I cmn          init: llama threadpool init, n_threads = 8
0.02.072.690 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.076.010 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.076.050 I srv  llama_server: model loaded
0.02.076.054 I srv  llama_server: listening on http://127.0.0.1:18210
0.02.274.812 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.274.861 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.542.297 I slot print_timing: id  0 | task 0 | prompt eval time =     203.23 ms /    25 tokens (    8.13 ms per token,   123.01 tokens per second)
0.02.542.301 I slot print_timing: id  0 | task 0 |        eval time =      64.19 ms /     3 tokens (   32.09 ms per token,    31.16 tokens per second)
0.02.542.302 I slot print_timing: id  0 | task 0 |       total time =     267.42 ms /    28 tokens
0.02.542.304 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.02.542.327 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.02.544.789 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 113922541358
0.02.613.918 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.02.859.158 I slot print_timing: id  0 | task 6 | prompt eval time =     245.22 ms /    95 tokens (    2.58 ms per token,   387.41 tokens per second)
0.02.859.162 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.859.162 I slot print_timing: id  0 | task 6 |       total time =     245.22 ms /    96 tokens
0.02.859.163 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.02.859.179 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.02.861.751 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.861.789 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.03.105.741 I slot print_timing: id  0 | task 10 | prompt eval time =     243.94 ms /    95 tokens (    2.57 ms per token,   389.44 tokens per second)
0.03.105.745 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.105.746 I slot print_timing: id  0 | task 10 |       total time =     243.94 ms /    96 tokens
0.03.105.746 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.03.105.762 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.03.108.413 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.108.461 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.03.352.386 I slot print_timing: id  0 | task 14 | prompt eval time =     243.91 ms /    95 tokens (    2.57 ms per token,   389.49 tokens per second)
0.03.352.391 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.352.391 I slot print_timing: id  0 | task 14 |       total time =     243.91 ms /    96 tokens
0.03.352.392 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.03.352.409 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.03.354.311 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.354.347 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
