CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18210 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.112.463 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.112.569 I srv          init: The UI is disabled
0.00.112.570 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.112.611 W srv  llama_server: -----------------
0.00.112.611 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.112.611 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.112.611 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.112.611 W srv  llama_server: -----------------
0.00.113.800 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.411.457 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.411.463 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.411.468 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.411.469 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.411.471 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.411.477 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.411.479 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.411.480 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.411.482 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.411.484 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.411.485 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.411.488 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.411.490 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.411.492 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.411.497 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.922.829 I cmn          init: llama threadpool init, n_threads = 8
0.02.082.532 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.086.017 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.086.077 I srv  llama_server: model loaded
0.02.086.079 I srv  llama_server: listening on http://127.0.0.1:18210
0.02.273.934 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.273.998 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.693.177 I slot print_timing: id  0 | task 0 | prompt eval time =     315.60 ms /    25 tokens (   12.62 ms per token,    79.21 tokens per second)
0.02.693.182 I slot print_timing: id  0 | task 0 |        eval time =     103.56 ms /     3 tokens (   51.78 ms per token,    19.31 tokens per second)
0.02.693.182 I slot print_timing: id  0 | task 0 |       total time =     419.15 ms /    28 tokens
0.02.693.185 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.02.693.209 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.02.695.917 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 117857860744
0.02.769.095 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.03.185.691 I slot print_timing: id  0 | task 6 | prompt eval time =     416.58 ms /    95 tokens (    4.39 ms per token,   228.05 tokens per second)
0.03.185.695 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.185.695 I slot print_timing: id  0 | task 6 |       total time =     416.58 ms /    96 tokens
0.03.185.696 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.03.185.711 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.03.187.758 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.187.789 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.03.603.779 I slot print_timing: id  0 | task 10 | prompt eval time =     415.98 ms /    95 tokens (    4.38 ms per token,   228.38 tokens per second)
0.03.603.782 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.603.783 I slot print_timing: id  0 | task 10 |       total time =     415.98 ms /    96 tokens
0.03.603.783 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.03.603.798 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.03.606.057 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.606.093 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.04.022.494 I slot print_timing: id  0 | task 14 | prompt eval time =     416.39 ms /    95 tokens (    4.38 ms per token,   228.15 tokens per second)
0.04.022.498 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.04.022.498 I slot print_timing: id  0 | task 14 |       total time =     416.39 ms /    96 tokens
0.04.022.499 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.04.022.514 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.04.024.549 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.04.024.593 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
