CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-dflash2/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18220 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-dflash --spec-draft-n-max 4 -md /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/dflash2/Qwen3.8-27B-DFlash2-Q4_K_M.gguf
0.00.116.672 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.193.564 I srv          init: The UI is disabled
0.00.193.567 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.193.608 W srv  llama_server: -----------------
0.00.193.609 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.193.609 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.193.609 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.193.609 W srv  llama_server: -----------------
0.00.194.806 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.415.526 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.415.532 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.415.537 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.415.539 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.415.540 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.415.546 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.415.548 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.415.549 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.415.551 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.415.553 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.415.554 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.415.557 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.415.558 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.415.560 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.415.565 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.02.029.774 I cmn          init: llama threadpool init, n_threads = 8
0.02.086.958 I common_speculative_init_result: loading draft model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/dflash2/Qwen3.8-27B-DFlash2-Q4_K_M.gguf'
0.03.271.141 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.03.271.167 I common_speculative_impl_draft_dflash: adding speculative implementation 'draft-dflash'
0.03.271.177 I common_speculative_impl_draft_dflash: - n_max=4, n_min=0, p_min=0.00
0.03.271.179 I common_speculative_impl_draft_dflash: - block_size=8, mask_token_id=248070, n_extract=5, sample_from_anchor=true
0.03.294.859 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.03.294.889 I srv  llama_server: model loaded
0.03.294.891 I srv  llama_server: listening on http://127.0.0.1:18220
0.03.821.090 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.03.821.134 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.04.165.598 I slot print_timing: id  0 | task 0 | prompt eval time =     238.84 ms /    25 tokens (    9.55 ms per token,   104.67 tokens per second)
0.04.165.603 I slot print_timing: id  0 | task 0 |        eval time =     105.59 ms /     3 tokens (   52.80 ms per token,    18.94 tokens per second)
0.04.165.603 I slot print_timing: id  0 | task 0 |       total time =     344.43 ms /    28 tokens
0.04.165.606 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.04.165.608 I slot print_timing: id  0 | task 0 | draft acceptance = 0.25000 (    1 accepted /     4 generated), mean len =  2.00
0.04.165.639 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.04.168.003 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 142958886225
0.04.236.239 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.04.475.740 I slot print_timing: id  0 | task 5 | prompt eval time =     239.48 ms /    95 tokens (    2.52 ms per token,   396.69 tokens per second)
0.04.475.744 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.04.475.745 I slot print_timing: id  0 | task 5 |       total time =     239.49 ms /    96 tokens
0.04.475.745 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.04.475.770 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.04.477.852 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.04.477.892 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.04.702.397 I slot print_timing: id  0 | task 9 | prompt eval time =     224.48 ms /    95 tokens (    2.36 ms per token,   423.20 tokens per second)
0.04.702.401 I slot print_timing: id  0 | task 9 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.04.702.402 I slot print_timing: id  0 | task 9 |       total time =     224.48 ms /    96 tokens
0.04.702.402 I slot print_timing: id  0 | task 9 |    graphs reused =          1
0.04.702.436 I slot      release: id  0 | task 9 | stop processing: n_tokens = 95, truncated = 0
0.04.704.204 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.04.704.247 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
0.04.928.974 I slot print_timing: id  0 | task 13 | prompt eval time =     224.71 ms /    95 tokens (    2.37 ms per token,   422.76 tokens per second)
0.04.928.978 I slot print_timing: id  0 | task 13 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.04.928.978 I slot print_timing: id  0 | task 13 |       total time =     224.71 ms /    96 tokens
0.04.928.979 I slot print_timing: id  0 | task 13 |    graphs reused =          1
0.04.929.008 I slot      release: id  0 | task 13 | stop processing: n_tokens = 95, truncated = 0
0.04.930.889 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.04.930.930 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
0.05.157.270 I slot print_timing: id  0 | task 17 | prompt eval time =     226.32 ms /    95 tokens (    2.38 ms per token,   419.75 tokens per second)
0.05.157.274 I slot print_timing: id  0 | task 17 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.05.157.274 I slot print_timing: id  0 | task 17 |       total time =     226.33 ms /    96 tokens
0.05.157.275 I slot print_timing: id  0 | task 17 |    graphs reused =          1
0.05.157.303 I slot      release: id  0 | task 17 | stop processing: n_tokens = 95, truncated = 0
