CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-dflash2/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18144 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.122.301 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.228.627 I srv          init: The UI is disabled
0.00.228.630 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.228.671 W srv  llama_server: -----------------
0.00.228.671 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.228.671 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.228.671 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.228.671 W srv  llama_server: -----------------
0.00.229.886 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.446.353 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.446.360 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.446.365 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.446.366 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.446.368 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.446.373 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.446.375 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.446.377 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.446.378 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.446.380 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.446.381 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.446.384 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.446.386 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.446.388 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.446.393 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.960.255 I cmn          init: llama threadpool init, n_threads = 8
0.02.052.881 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.056.130 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.056.160 I srv  llama_server: model loaded
0.02.056.163 I srv  llama_server: listening on http://127.0.0.1:18144
0.02.299.408 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.299.453 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.519.946 I slot print_timing: id  0 | task 0 | prompt eval time =     163.40 ms /    25 tokens (    6.54 ms per token,   153.00 tokens per second)
0.02.519.952 I slot print_timing: id  0 | task 0 |        eval time =      57.08 ms /     3 tokens (   28.54 ms per token,    35.04 tokens per second)
0.02.519.952 I slot print_timing: id  0 | task 0 |       total time =     220.48 ms /    28 tokens
0.02.519.955 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.02.519.975 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.02.522.793 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 72128495191
0.02.591.698 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.02.775.336 I slot print_timing: id  0 | task 6 | prompt eval time =     183.62 ms /    95 tokens (    1.93 ms per token,   517.37 tokens per second)
0.02.775.341 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.775.342 I slot print_timing: id  0 | task 6 |       total time =     183.62 ms /    96 tokens
0.02.775.342 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.02.775.362 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.02.777.311 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.777.336 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.02.960.271 I slot print_timing: id  0 | task 10 | prompt eval time =     182.92 ms /    95 tokens (    1.93 ms per token,   519.34 tokens per second)
0.02.960.276 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.960.276 I slot print_timing: id  0 | task 10 |       total time =     182.93 ms /    96 tokens
0.02.960.277 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.02.960.290 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.02.962.228 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.962.254 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.03.146.531 I slot print_timing: id  0 | task 14 | prompt eval time =     184.27 ms /    95 tokens (    1.94 ms per token,   515.56 tokens per second)
0.03.146.535 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.146.535 I slot print_timing: id  0 | task 14 |       total time =     184.27 ms /    96 tokens
0.03.146.536 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.03.146.550 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.03.148.321 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.148.356 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.03.331.244 I slot print_timing: id  0 | task 18 | prompt eval time =     182.87 ms /    95 tokens (    1.92 ms per token,   519.48 tokens per second)
0.03.331.249 I slot print_timing: id  0 | task 18 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.331.250 I slot print_timing: id  0 | task 18 |       total time =     182.88 ms /    96 tokens
0.03.331.250 I slot print_timing: id  0 | task 18 |    graphs reused =          2
