CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-dflash2/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18138 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-dflash --spec-draft-n-max 7 -md /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/dflash2/Qwen3.8-27B-DFlash2-Q4_K_M.gguf
0.00.200.369 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.279.140 I srv          init: The UI is disabled
0.00.279.143 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.279.183 W srv  llama_server: -----------------
0.00.279.185 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.279.185 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.279.185 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.279.185 W srv  llama_server: -----------------
0.00.280.673 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.508.951 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.508.958 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.508.963 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.508.965 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.508.966 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.508.972 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.508.974 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.508.975 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.508.977 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.508.978 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.508.980 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.508.983 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.508.984 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.508.986 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.508.991 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.29.339.143 I cmn          init: llama threadpool init, n_threads = 8
0.29.430.118 I common_speculative_init_result: loading draft model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/dflash2/Qwen3.8-27B-DFlash2-Q4_K_M.gguf'
0.30.717.191 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.30.717.224 I common_speculative_impl_draft_dflash: adding speculative implementation 'draft-dflash'
0.30.717.226 I common_speculative_impl_draft_dflash: - n_max=7, n_min=0, p_min=0.00
0.30.717.226 I common_speculative_impl_draft_dflash: - block_size=8, mask_token_id=248070, n_extract=5, sample_from_anchor=true
0.30.765.023 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.30.765.061 I srv  llama_server: model loaded
0.30.765.066 I srv  llama_server: listening on http://127.0.0.1:18138
0.31.354.330 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.31.354.384 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.31.951.906 I slot print_timing: id  0 | task 0 | prompt eval time =     395.38 ms /    25 tokens (   15.82 ms per token,    63.23 tokens per second)
0.31.951.910 I slot print_timing: id  0 | task 0 |        eval time =     202.11 ms /     3 tokens (  101.05 ms per token,     9.90 tokens per second)
0.31.951.911 I slot print_timing: id  0 | task 0 |       total time =     597.49 ms /    28 tokens
0.31.951.913 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.31.951.917 I slot print_timing: id  0 | task 0 | draft acceptance = 0.28571 (    2 accepted /     7 generated), mean len =  3.00
0.31.952.890 I slot      release: id  0 | task 0 | stop processing: n_tokens = 28, truncated = 0
0.31.956.150 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 371116418420
0.32.089.206 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.32.430.798 I slot print_timing: id  0 | task 5 | prompt eval time =     341.57 ms /    95 tokens (    3.60 ms per token,   278.13 tokens per second)
0.32.430.802 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.32.430.803 I slot print_timing: id  0 | task 5 |       total time =     341.57 ms /    96 tokens
0.32.430.803 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.32.430.829 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.32.432.733 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.32.432.770 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.32.699.941 I slot print_timing: id  0 | task 9 | prompt eval time =     267.16 ms /    95 tokens (    2.81 ms per token,   355.60 tokens per second)
0.32.699.947 I slot print_timing: id  0 | task 9 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.32.699.948 I slot print_timing: id  0 | task 9 |       total time =     267.16 ms /    96 tokens
0.32.699.949 I slot print_timing: id  0 | task 9 |    graphs reused =          1
0.32.699.974 I slot      release: id  0 | task 9 | stop processing: n_tokens = 95, truncated = 0
0.32.701.798 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.32.701.836 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
0.32.971.093 I slot print_timing: id  0 | task 13 | prompt eval time =     269.25 ms /    95 tokens (    2.83 ms per token,   352.84 tokens per second)
0.32.971.098 I slot print_timing: id  0 | task 13 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.32.971.098 I slot print_timing: id  0 | task 13 |       total time =     269.25 ms /    96 tokens
0.32.971.099 I slot print_timing: id  0 | task 13 |    graphs reused =          1
0.32.971.123 I slot      release: id  0 | task 13 | stop processing: n_tokens = 95, truncated = 0
0.32.973.139 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.32.973.175 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
0.33.240.534 I slot print_timing: id  0 | task 17 | prompt eval time =     267.34 ms /    95 tokens (    2.81 ms per token,   355.35 tokens per second)
0.33.240.537 I slot print_timing: id  0 | task 17 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.33.240.538 I slot print_timing: id  0 | task 17 |       total time =     267.34 ms /    96 tokens
0.33.240.538 I slot print_timing: id  0 | task 17 |    graphs reused =          1
0.33.240.576 I slot      release: id  0 | task 17 | stop processing: n_tokens = 95, truncated = 0
