CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-dflash2/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18138 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-dflash --spec-draft-n-max 4 -md /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/dflash2/Qwen3.8-27B-DFlash2-Q4_K_M.gguf
0.00.203.206 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.286.991 I srv          init: The UI is disabled
0.00.286.994 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.287.467 W srv  llama_server: -----------------
0.00.287.469 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.287.469 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.287.469 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.287.469 W srv  llama_server: -----------------
0.00.289.283 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.531.006 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.531.012 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.531.016 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.531.018 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.531.019 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.531.025 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.531.027 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.531.028 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.531.030 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.531.032 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.531.033 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.531.036 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.531.037 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.531.039 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.531.044 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.10.627.621 I cmn          init: llama threadpool init, n_threads = 8
0.10.701.595 I common_speculative_init_result: loading draft model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/dflash2/Qwen3.8-27B-DFlash2-Q4_K_M.gguf'
0.12.000.595 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.12.001.646 I common_speculative_impl_draft_dflash: adding speculative implementation 'draft-dflash'
0.12.001.650 I common_speculative_impl_draft_dflash: - n_max=4, n_min=0, p_min=0.00
0.12.001.650 I common_speculative_impl_draft_dflash: - block_size=8, mask_token_id=248070, n_extract=5, sample_from_anchor=true
0.12.040.408 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.12.040.446 I srv  llama_server: model loaded
0.12.040.450 I srv  llama_server: listening on http://127.0.0.1:18138
0.12.343.696 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.12.343.741 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.12.891.682 I slot print_timing: id  0 | task 0 | prompt eval time =     367.82 ms /    25 tokens (   14.71 ms per token,    67.97 tokens per second)
0.12.891.687 I slot print_timing: id  0 | task 0 |        eval time =     180.09 ms /     3 tokens (   90.05 ms per token,    11.11 tokens per second)
0.12.891.687 I slot print_timing: id  0 | task 0 |       total time =     547.91 ms /    28 tokens
0.12.891.689 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.12.891.692 I slot print_timing: id  0 | task 0 | draft acceptance = 0.25000 (    1 accepted /     4 generated), mean len =  2.00
0.12.891.724 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.12.893.980 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 304051942552
0.13.035.307 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.13.349.445 I slot print_timing: id  0 | task 5 | prompt eval time =     314.12 ms /    95 tokens (    3.31 ms per token,   302.43 tokens per second)
0.13.349.448 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.13.349.449 I slot print_timing: id  0 | task 5 |       total time =     314.12 ms /    96 tokens
0.13.349.472 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.13.349.495 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.13.351.568 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.13.351.605 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.13.637.593 I slot print_timing: id  0 | task 9 | prompt eval time =     285.98 ms /    95 tokens (    3.01 ms per token,   332.20 tokens per second)
0.13.637.597 I slot print_timing: id  0 | task 9 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.13.637.598 I slot print_timing: id  0 | task 9 |       total time =     285.98 ms /    96 tokens
0.13.637.598 I slot print_timing: id  0 | task 9 |    graphs reused =          1
0.13.637.622 I slot      release: id  0 | task 9 | stop processing: n_tokens = 95, truncated = 0
0.13.639.280 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.13.639.316 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
0.13.915.937 I slot print_timing: id  0 | task 13 | prompt eval time =     276.61 ms /    95 tokens (    2.91 ms per token,   343.45 tokens per second)
0.13.915.941 I slot print_timing: id  0 | task 13 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.13.915.941 I slot print_timing: id  0 | task 13 |       total time =     276.61 ms /    96 tokens
0.13.915.942 I slot print_timing: id  0 | task 13 |    graphs reused =          1
0.13.915.965 I slot      release: id  0 | task 13 | stop processing: n_tokens = 95, truncated = 0
0.13.917.874 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.13.917.909 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
0.14.190.282 I slot print_timing: id  0 | task 17 | prompt eval time =     272.36 ms /    95 tokens (    2.87 ms per token,   348.80 tokens per second)
0.14.190.285 I slot print_timing: id  0 | task 17 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.14.190.286 I slot print_timing: id  0 | task 17 |       total time =     272.36 ms /    96 tokens
0.14.190.286 I slot print_timing: id  0 | task 17 |    graphs reused =          1
0.14.190.310 I slot      release: id  0 | task 17 | stop processing: n_tokens = 95, truncated = 0
0.14.192.240 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.14.192.272 I slot launch_slot_: id  0 | task 21 | processing task, is_child = 0
0.14.453.038 I slot print_timing: id  0 | task 21 | prompt eval time =     260.75 ms /    95 tokens (    2.74 ms per token,   364.33 tokens per second)
0.14.453.042 I slot print_timing: id  0 | task 21 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.14.453.043 I slot print_timing: id  0 | task 21 |       total time =     260.75 ms /    96 tokens
0.14.453.043 I slot print_timing: id  0 | task 21 |    graphs reused =          1
0.14.453.067 I slot      release: id  0 | task 21 | stop processing: n_tokens = 95, truncated = 0
0.14.455.150 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.14.455.207 I slot launch_slot_: id  0 | task 25 | processing task, is_child = 0
0.14.716.760 I slot print_timing: id  0 | task 25 | prompt eval time =     261.54 ms /    95 tokens (    2.75 ms per token,   363.23 tokens per second)
0.14.716.764 I slot print_timing: id  0 | task 25 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.14.716.764 I slot print_timing: id  0 | task 25 |       total time =     261.54 ms /    96 tokens
0.14.716.765 I slot print_timing: id  0 | task 25 |    graphs reused =          1
0.14.716.788 I slot      release: id  0 | task 25 | stop processing: n_tokens = 95, truncated = 0
0.14.718.703 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.14.718.740 I slot launch_slot_: id  0 | task 29 | processing task, is_child = 0
0.14.964.161 I slot print_timing: id  0 | task 29 | prompt eval time =     245.41 ms /    95 tokens (    2.58 ms per token,   387.11 tokens per second)
0.14.964.165 I slot print_timing: id  0 | task 29 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.14.964.166 I slot print_timing: id  0 | task 29 |       total time =     245.41 ms /    96 tokens
0.14.964.166 I slot print_timing: id  0 | task 29 |    graphs reused =          1
0.14.964.191 I slot      release: id  0 | task 29 | stop processing: n_tokens = 95, truncated = 0
0.14.965.961 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.14.966.001 I slot launch_slot_: id  0 | task 33 | processing task, is_child = 0
0.15.210.167 I slot print_timing: id  0 | task 33 | prompt eval time =     244.15 ms /    95 tokens (    2.57 ms per token,   389.10 tokens per second)
0.15.210.171 I slot print_timing: id  0 | task 33 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.15.210.172 I slot print_timing: id  0 | task 33 |       total time =     244.15 ms /    96 tokens
0.15.210.172 I slot print_timing: id  0 | task 33 |    graphs reused =          1
0.15.210.196 I slot      release: id  0 | task 33 | stop processing: n_tokens = 95, truncated = 0
0.15.212.347 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.15.212.384 I slot launch_slot_: id  0 | task 37 | processing task, is_child = 0
0.18.459.861 I slot print_timing: id  0 | task 37 | n_gen =    277, tg =  91.85 t/s, tg_3s =  92.19 t/s
0.21.470.994 I slot print_timing: id  0 | task 37 | n_gen =    568, tg =  94.25 t/s, tg_3s =  96.64 t/s
0.24.480.946 I slot print_timing: id  0 | task 37 | n_gen =    849, tg =  93.95 t/s, tg_3s =  93.36 t/s
0.27.507.533 I slot print_timing: id  0 | task 37 | n_gen =   1098, tg =  91.02 t/s, tg_3s =  82.27 t/s
0.30.536.629 I slot print_timing: id  0 | task 37 | n_gen =   1355, tg =  89.78 t/s, tg_3s =  84.84 t/s
0.32.973.755 I slot print_timing: id  0 | task 37 | prompt eval time =     242.67 ms /    95 tokens (    2.55 ms per token,   391.48 tokens per second)
0.32.973.759 I slot print_timing: id  0 | task 37 |        eval time =   17518.68 ms /  1600 tokens (   10.96 ms per token,    91.27 tokens per second)
0.32.973.760 I slot print_timing: id  0 | task 37 |       total time =   17761.35 ms /  1695 tokens
0.32.973.760 I slot print_timing: id  0 | task 37 |    graphs reused =        377
0.32.973.763 I slot print_timing: id  0 | task 37 | draft acceptance = 0.79373 ( 1216 accepted /  1532 generated), mean len =  4.17
0.32.973.799 I slot      release: id  0 | task 37 | stop processing: n_tokens = 1694, truncated = 0
0.32.988.718 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 304072024627
0.33.157.551 I slot launch_slot_: id  0 | task 424 | processing task, is_child = 0
0.33.423.514 I slot print_timing: id  0 | task 424 | prompt eval time =     265.94 ms /   100 tokens (    2.66 ms per token,   376.02 tokens per second)
0.33.423.518 I slot print_timing: id  0 | task 424 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.33.423.519 I slot print_timing: id  0 | task 424 |       total time =     265.94 ms /   101 tokens
0.33.423.519 I slot print_timing: id  0 | task 424 |    graphs reused =        377
0.33.423.547 I slot      release: id  0 | task 424 | stop processing: n_tokens = 100, truncated = 0
0.33.425.335 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.33.425.372 I slot launch_slot_: id  0 | task 428 | processing task, is_child = 0
0.33.678.011 I slot print_timing: id  0 | task 428 | prompt eval time =     252.63 ms /   100 tokens (    2.53 ms per token,   395.84 tokens per second)
0.33.678.016 I slot print_timing: id  0 | task 428 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.33.678.016 I slot print_timing: id  0 | task 428 |       total time =     252.63 ms /   101 tokens
0.33.678.016 I slot print_timing: id  0 | task 428 |    graphs reused =        377
0.33.678.042 I slot      release: id  0 | task 428 | stop processing: n_tokens = 100, truncated = 0
0.33.680.090 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.33.680.126 I slot launch_slot_: id  0 | task 432 | processing task, is_child = 0
0.33.931.835 I slot print_timing: id  0 | task 432 | prompt eval time =     251.69 ms /   100 tokens (    2.52 ms per token,   397.31 tokens per second)
0.33.931.839 I slot print_timing: id  0 | task 432 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.33.931.839 I slot print_timing: id  0 | task 432 |       total time =     251.69 ms /   101 tokens
0.33.931.840 I slot print_timing: id  0 | task 432 |    graphs reused =        377
0.33.931.866 I slot      release: id  0 | task 432 | stop processing: n_tokens = 100, truncated = 0
0.33.933.734 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.33.933.783 I slot launch_slot_: id  0 | task 436 | processing task, is_child = 0
0.34.185.120 I slot print_timing: id  0 | task 436 | prompt eval time =     251.32 ms /   100 tokens (    2.51 ms per token,   397.89 tokens per second)
0.34.185.124 I slot print_timing: id  0 | task 436 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.34.185.125 I slot print_timing: id  0 | task 436 |       total time =     251.33 ms /   101 tokens
0.34.185.125 I slot print_timing: id  0 | task 436 |    graphs reused =        377
0.34.185.151 I slot      release: id  0 | task 436 | stop processing: n_tokens = 100, truncated = 0
0.34.187.043 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.34.187.089 I slot launch_slot_: id  0 | task 440 | processing task, is_child = 0
0.34.438.903 I slot print_timing: id  0 | task 440 | prompt eval time =     251.80 ms /   100 tokens (    2.52 ms per token,   397.14 tokens per second)
