CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-dflash2/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18138 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.209.671 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.298.668 I srv          init: The UI is disabled
0.00.298.671 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.299.053 W srv  llama_server: -----------------
0.00.299.055 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.299.055 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.299.055 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.299.055 W srv  llama_server: -----------------
0.00.301.071 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.531.390 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.531.396 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.531.401 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.531.403 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.531.404 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.531.410 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.531.412 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.531.413 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.531.415 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.531.417 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.531.418 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.531.421 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.531.423 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.531.425 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.531.430 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.09.742.347 I cmn          init: llama threadpool init, n_threads = 8
0.09.850.653 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.09.859.300 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.09.859.335 I srv  llama_server: model loaded
0.09.859.338 I srv  llama_server: listening on http://127.0.0.1:18138
0.10.255.148 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.10.255.193 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.10.550.310 I slot print_timing: id  0 | task 0 | prompt eval time =     233.97 ms /    25 tokens (    9.36 ms per token,   106.85 tokens per second)
0.10.550.314 I slot print_timing: id  0 | task 0 |        eval time =      61.12 ms /     3 tokens (   30.56 ms per token,    32.72 tokens per second)
0.10.550.315 I slot print_timing: id  0 | task 0 |       total time =     295.09 ms /    28 tokens
0.10.550.319 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.10.550.346 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.10.552.460 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 310394835558
0.10.704.650 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.10.939.317 I slot print_timing: id  0 | task 6 | prompt eval time =     234.65 ms /    95 tokens (    2.47 ms per token,   404.86 tokens per second)
0.10.939.322 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.10.939.322 I slot print_timing: id  0 | task 6 |       total time =     234.65 ms /    96 tokens
0.10.939.323 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.10.939.339 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.10.941.022 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.10.941.057 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.11.176.175 I slot print_timing: id  0 | task 10 | prompt eval time =     235.10 ms /    95 tokens (    2.47 ms per token,   404.07 tokens per second)
0.11.176.180 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.11.176.181 I slot print_timing: id  0 | task 10 |       total time =     235.11 ms /    96 tokens
0.11.176.181 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.11.176.196 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.11.178.122 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.11.178.148 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.11.410.711 I slot print_timing: id  0 | task 14 | prompt eval time =     232.55 ms /    95 tokens (    2.45 ms per token,   408.51 tokens per second)
0.11.410.715 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.11.410.716 I slot print_timing: id  0 | task 14 |       total time =     232.55 ms /    96 tokens
0.11.410.716 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.11.410.732 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.11.412.726 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.11.412.763 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
