CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-dflash2/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18120 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.121.349 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.199.811 I srv          init: The UI is disabled
0.00.199.814 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.199.869 W srv  llama_server: -----------------
0.00.199.871 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.199.871 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.199.871 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.199.871 W srv  llama_server: -----------------
0.00.201.077 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.428.087 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.428.094 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.428.101 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.428.104 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.428.106 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.428.113 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.428.116 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.428.118 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.428.120 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.428.122 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.428.124 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.428.128 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.428.130 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.428.132 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.428.139 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.43.962.795 I cmn          init: llama threadpool init, n_threads = 8
0.44.054.261 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.44.057.547 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.44.057.576 I srv  llama_server: model loaded
0.44.057.579 I srv  llama_server: listening on http://127.0.0.1:18120
0.44.567.971 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.44.568.025 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.44.788.295 I slot print_timing: id  0 | task 0 | prompt eval time =     163.01 ms /    25 tokens (    6.52 ms per token,   153.37 tokens per second)
0.44.788.299 I slot print_timing: id  0 | task 0 |        eval time =      57.24 ms /     3 tokens (   28.62 ms per token,    34.94 tokens per second)
0.44.788.300 I slot print_timing: id  0 | task 0 |       total time =     220.25 ms /    28 tokens
0.44.788.303 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.44.788.340 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.44.791.476 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2051128549971
0.44.858.529 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.45.060.494 I slot print_timing: id  0 | task 6 | prompt eval time =     201.95 ms /   135 tokens (    1.50 ms per token,   668.50 tokens per second)
0.45.060.498 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.45.060.498 I slot print_timing: id  0 | task 6 |       total time =     201.95 ms /   136 tokens
0.45.060.498 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.45.060.514 I slot      release: id  0 | task 6 | stop processing: n_tokens = 135, truncated = 0
0.45.062.684 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.45.062.717 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.45.264.490 I slot print_timing: id  0 | task 10 | prompt eval time =     201.76 ms /   135 tokens (    1.49 ms per token,   669.12 tokens per second)
0.45.264.495 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.45.264.495 I slot print_timing: id  0 | task 10 |       total time =     201.76 ms /   136 tokens
0.45.264.496 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.45.264.515 I slot      release: id  0 | task 10 | stop processing: n_tokens = 135, truncated = 0
0.45.266.857 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.45.266.896 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.45.468.836 I slot print_timing: id  0 | task 14 | prompt eval time =     201.93 ms /   135 tokens (    1.50 ms per token,   668.56 tokens per second)
0.45.468.841 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.45.468.842 I slot print_timing: id  0 | task 14 |       total time =     201.93 ms /   136 tokens
0.45.468.842 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.45.468.860 I slot      release: id  0 | task 14 | stop processing: n_tokens = 135, truncated = 0
0.45.471.444 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.45.471.476 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.45.674.006 I slot print_timing: id  0 | task 18 | prompt eval time =     202.52 ms /   135 tokens (    1.50 ms per token,   666.61 tokens per second)
0.45.674.010 I slot print_timing: id  0 | task 18 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.45.674.011 I slot print_timing: id  0 | task 18 |       total time =     202.52 ms /   136 tokens
0.45.674.011 I slot print_timing: id  0 | task 18 |    graphs reused =          2
0.45.674.027 I slot      release: id  0 | task 18 | stop processing: n_tokens = 135, truncated = 0
0.45.676.082 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.45.676.107 I slot launch_slot_: id  0 | task 22 | processing task, is_child = 0
0.45.877.929 I slot print_timing: id  0 | task 22 | prompt eval time =     201.81 ms /   135 tokens (    1.49 ms per token,   668.95 tokens per second)
0.45.877.933 I slot print_timing: id  0 | task 22 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.45.877.933 I slot print_timing: id  0 | task 22 |       total time =     201.81 ms /   136 tokens
0.45.877.934 I slot print_timing: id  0 | task 22 |    graphs reused =          2
0.45.877.951 I slot      release: id  0 | task 22 | stop processing: n_tokens = 135, truncated = 0
0.45.879.960 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.45.879.996 I slot launch_slot_: id  0 | task 26 | processing task, is_child = 0
0.46.082.783 I slot print_timing: id  0 | task 26 | prompt eval time =     202.78 ms /   135 tokens (    1.50 ms per token,   665.76 tokens per second)
0.46.082.786 I slot print_timing: id  0 | task 26 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.46.082.787 I slot print_timing: id  0 | task 26 |       total time =     202.78 ms /   136 tokens
0.46.082.787 I slot print_timing: id  0 | task 26 |    graphs reused =          2
0.46.082.806 I slot      release: id  0 | task 26 | stop processing: n_tokens = 135, truncated = 0
0.46.084.814 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.46.084.849 I slot launch_slot_: id  0 | task 30 | processing task, is_child = 0
0.46.288.027 I slot print_timing: id  0 | task 30 | prompt eval time =     203.16 ms /   135 tokens (    1.50 ms per token,   664.49 tokens per second)
0.46.288.031 I slot print_timing: id  0 | task 30 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.46.288.031 I slot print_timing: id  0 | task 30 |       total time =     203.16 ms /   136 tokens
0.46.288.032 I slot print_timing: id  0 | task 30 |    graphs reused =          2
0.46.288.051 I slot      release: id  0 | task 30 | stop processing: n_tokens = 135, truncated = 0
