CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18120 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.133.762 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.133.839 I srv          init: The UI is disabled
0.00.133.842 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.133.877 W srv  llama_server: -----------------
0.00.133.879 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.133.879 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.133.879 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.133.879 W srv  llama_server: -----------------
0.00.135.074 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.450.602 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.450.607 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.450.612 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.450.614 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.450.616 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.450.622 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.450.623 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.450.625 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.450.627 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.450.629 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.450.630 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.450.633 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.450.635 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.450.636 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.450.641 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.05.279.367 I cmn          init: llama threadpool init, n_threads = 8
0.05.378.038 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.05.381.322 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.05.381.360 I srv  llama_server: model loaded
0.05.381.363 I srv  llama_server: listening on http://127.0.0.1:18120
0.05.493.340 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.05.493.377 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.05.715.128 I slot print_timing: id  0 | task 0 | prompt eval time =     163.88 ms /    25 tokens (    6.56 ms per token,   152.55 tokens per second)
0.05.715.132 I slot print_timing: id  0 | task 0 |        eval time =      57.85 ms /     3 tokens (   28.92 ms per token,    34.57 tokens per second)
0.05.715.132 I slot print_timing: id  0 | task 0 |       total time =     221.72 ms /    28 tokens
0.05.715.135 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.05.715.158 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.05.717.388 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2061528357746
0.05.785.797 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.05.969.537 I slot print_timing: id  0 | task 6 | prompt eval time =     183.72 ms /    95 tokens (    1.93 ms per token,   517.09 tokens per second)
0.05.969.541 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.05.969.542 I slot print_timing: id  0 | task 6 |       total time =     183.72 ms /    96 tokens
0.05.969.542 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.05.969.558 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.05.971.636 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.05.971.669 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.06.155.030 I slot print_timing: id  0 | task 10 | prompt eval time =     183.35 ms /    95 tokens (    1.93 ms per token,   518.14 tokens per second)
0.06.155.034 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.06.155.035 I slot print_timing: id  0 | task 10 |       total time =     183.35 ms /    96 tokens
0.06.155.035 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.06.155.050 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.06.157.165 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.06.157.197 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.06.340.723 I slot print_timing: id  0 | task 14 | prompt eval time =     183.51 ms /    95 tokens (    1.93 ms per token,   517.67 tokens per second)
0.06.340.728 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.06.340.728 I slot print_timing: id  0 | task 14 |       total time =     183.51 ms /    96 tokens
0.06.340.729 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.06.340.744 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.06.343.296 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.06.343.328 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.06.526.724 I slot print_timing: id  0 | task 18 | prompt eval time =     183.38 ms /    95 tokens (    1.93 ms per token,   518.04 tokens per second)
0.06.526.730 I slot print_timing: id  0 | task 18 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.06.526.730 I slot print_timing: id  0 | task 18 |       total time =     183.39 ms /    96 tokens
0.06.526.730 I slot print_timing: id  0 | task 18 |    graphs reused =          2
0.06.526.746 I slot      release: id  0 | task 18 | stop processing: n_tokens = 95, truncated = 0
0.06.528.689 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.06.528.722 I slot launch_slot_: id  0 | task 22 | processing task, is_child = 0
0.06.712.809 I slot print_timing: id  0 | task 22 | prompt eval time =     184.07 ms /    95 tokens (    1.94 ms per token,   516.10 tokens per second)
0.06.712.812 I slot print_timing: id  0 | task 22 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.06.712.813 I slot print_timing: id  0 | task 22 |       total time =     184.07 ms /    96 tokens
0.06.712.813 I slot print_timing: id  0 | task 22 |    graphs reused =          2
0.06.712.828 I slot      release: id  0 | task 22 | stop processing: n_tokens = 95, truncated = 0
0.06.714.725 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.06.714.757 I slot launch_slot_: id  0 | task 26 | processing task, is_child = 0
0.06.898.128 I slot print_timing: id  0 | task 26 | prompt eval time =     183.36 ms /    95 tokens (    1.93 ms per token,   518.12 tokens per second)
