CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18138 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 2
0.00.151.114 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.151.187 I srv          init: The UI is disabled
0.00.151.189 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.151.224 W srv  llama_server: -----------------
0.00.151.225 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.151.226 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.151.226 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.151.226 W srv  llama_server: -----------------
0.00.152.417 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.30.099.280 I cmn          init: llama threadpool init, n_threads = 8
0.30.184.313 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.30.227.305 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.30.250.987 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.30.251.022 I srv  llama_server: model loaded
0.30.251.025 I srv  llama_server: listening on http://127.0.0.1:18138
0.30.349.521 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.30.349.564 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.30.689.690 I slot print_timing: id  0 | task 0 | prompt eval time =     284.74 ms /    25 tokens (   11.39 ms per token,    87.80 tokens per second)
0.30.689.694 I slot print_timing: id  0 | task 0 |        eval time =      55.36 ms /     3 tokens (   27.68 ms per token,    36.13 tokens per second)
0.30.689.694 I slot print_timing: id  0 | task 0 |       total time =     340.10 ms /    28 tokens
0.30.689.697 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.30.689.698 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (    2 accepted /     2 generated), mean len =  3.00
0.30.690.414 I slot      release: id  0 | task 0 | stop processing: n_tokens = 28, truncated = 0
0.30.696.846 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 585026983881
0.30.839.835 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.31.136.927 I slot print_timing: id  0 | task 5 | prompt eval time =     297.07 ms /    95 tokens (    3.13 ms per token,   319.79 tokens per second)
0.31.136.932 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.31.136.932 I slot print_timing: id  0 | task 5 |       total time =     297.07 ms /    96 tokens
0.31.136.933 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.31.136.958 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.31.138.871 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.31.138.924 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.31.419.871 I slot print_timing: id  0 | task 9 | prompt eval time =     280.93 ms /    95 tokens (    2.96 ms per token,   338.16 tokens per second)
0.31.419.876 I slot print_timing: id  0 | task 9 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.31.419.876 I slot print_timing: id  0 | task 9 |       total time =     280.93 ms /    96 tokens
0.31.419.877 I slot print_timing: id  0 | task 9 |    graphs reused =          1
0.31.419.903 I slot      release: id  0 | task 9 | stop processing: n_tokens = 95, truncated = 0
0.31.422.095 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.31.422.130 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
0.31.691.548 I slot print_timing: id  0 | task 13 | prompt eval time =     269.41 ms /    95 tokens (    2.84 ms per token,   352.63 tokens per second)
0.31.691.552 I slot print_timing: id  0 | task 13 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.31.691.553 I slot print_timing: id  0 | task 13 |       total time =     269.41 ms /    96 tokens
