CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18138 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.199.838 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.199.930 I srv          init: The UI is disabled
0.00.199.932 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.199.978 W srv  llama_server: -----------------
0.00.199.980 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.199.980 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.199.980 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.199.980 W srv  llama_server: -----------------
0.00.201.189 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.521.992 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.522.000 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.522.007 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.522.010 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.522.012 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.522.021 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.522.023 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.522.025 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.522.027 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.522.029 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.522.032 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.522.036 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.522.039 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.522.043 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.522.052 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.29.504.906 I cmn          init: llama threadpool init, n_threads = 8
0.29.627.124 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.29.639.073 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.29.639.110 I srv  llama_server: model loaded
0.29.639.115 I srv  llama_server: listening on http://127.0.0.1:18138
0.29.866.563 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.29.866.610 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.30.166.773 I slot print_timing: id  0 | task 0 | prompt eval time =     239.16 ms /    25 tokens (    9.57 ms per token,   104.53 tokens per second)
0.30.166.779 I slot print_timing: id  0 | task 0 |        eval time =      60.98 ms /     3 tokens (   30.49 ms per token,    32.80 tokens per second)
0.30.166.780 I slot print_timing: id  0 | task 0 |       total time =     300.14 ms /    28 tokens
0.30.166.782 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.30.166.840 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.30.172.747 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 617388085027
0.30.320.209 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.30.572.140 I slot print_timing: id  0 | task 6 | prompt eval time =     251.91 ms /    95 tokens (    2.65 ms per token,   377.12 tokens per second)
0.30.572.144 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.30.572.144 I slot print_timing: id  0 | task 6 |       total time =     251.91 ms /    96 tokens
0.30.572.145 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.30.572.160 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.30.574.295 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.30.574.325 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.30.804.356 I slot print_timing: id  0 | task 10 | prompt eval time =     230.02 ms /    95 tokens (    2.42 ms per token,   413.01 tokens per second)
0.30.804.360 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.30.804.361 I slot print_timing: id  0 | task 10 |       total time =     230.02 ms /    96 tokens
0.30.804.361 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.30.804.378 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.30.806.294 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.30.806.332 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.31.037.763 I slot print_timing: id  0 | task 14 | prompt eval time =     231.42 ms /    95 tokens (    2.44 ms per token,   410.52 tokens per second)
0.31.037.767 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.31.037.768 I slot print_timing: id  0 | task 14 |       total time =     231.42 ms /    96 tokens
0.31.037.768 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.31.037.784 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.31.039.638 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.31.039.678 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
