CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18138 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off
0.00.196.120 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.196.198 I srv          init: The UI is disabled
0.00.196.200 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.196.236 W srv  llama_server: -----------------
0.00.196.237 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.196.238 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.196.238 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.196.238 W srv  llama_server: -----------------
0.00.197.426 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.512.873 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.512.880 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.512.887 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.512.890 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.512.892 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.512.900 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.512.903 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.512.905 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.512.907 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.512.910 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.512.913 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.512.917 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.512.921 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.512.924 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.512.933 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.29.188.882 I cmn          init: llama threadpool init, n_threads = 8
0.29.313.865 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.29.327.760 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.29.327.799 I srv  llama_server: model loaded
0.29.327.802 I srv  llama_server: listening on http://127.0.0.1:18138
0.29.869.553 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.29.869.602 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.30.176.370 I slot print_timing: id  0 | task 0 | prompt eval time =     233.28 ms /    25 tokens (    9.33 ms per token,   107.17 tokens per second)
0.30.176.375 I slot print_timing: id  0 | task 0 |        eval time =      73.46 ms /     3 tokens (   36.73 ms per token,    27.23 tokens per second)
0.30.176.375 I slot print_timing: id  0 | task 0 |       total time =     306.74 ms /    28 tokens
0.30.176.379 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.30.176.454 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.30.182.300 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 708502695502
0.30.322.088 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.30.583.310 I slot print_timing: id  0 | task 6 | prompt eval time =     261.20 ms /    95 tokens (    2.75 ms per token,   363.70 tokens per second)
0.30.583.316 I slot print_timing: id  0 | task 6 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.30.583.316 I slot print_timing: id  0 | task 6 |       total time =     261.20 ms /    96 tokens
0.30.583.317 I slot print_timing: id  0 | task 6 |    graphs reused =          2
0.30.583.333 I slot      release: id  0 | task 6 | stop processing: n_tokens = 95, truncated = 0
0.30.585.217 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.30.585.250 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.30.818.983 I slot print_timing: id  0 | task 10 | prompt eval time =     233.72 ms /    95 tokens (    2.46 ms per token,   406.47 tokens per second)
0.30.818.988 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.30.818.988 I slot print_timing: id  0 | task 10 |       total time =     233.72 ms /    96 tokens
0.30.818.989 I slot print_timing: id  0 | task 10 |    graphs reused =          2
0.30.819.006 I slot      release: id  0 | task 10 | stop processing: n_tokens = 95, truncated = 0
0.30.820.811 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.30.820.845 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.31.040.786 I slot print_timing: id  0 | task 14 | prompt eval time =     219.93 ms /    95 tokens (    2.31 ms per token,   431.97 tokens per second)
0.31.040.791 I slot print_timing: id  0 | task 14 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.31.040.791 I slot print_timing: id  0 | task 14 |       total time =     219.93 ms /    96 tokens
0.31.040.792 I slot print_timing: id  0 | task 14 |    graphs reused =          2
0.31.040.807 I slot      release: id  0 | task 14 | stop processing: n_tokens = 95, truncated = 0
0.31.042.583 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.31.042.615 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
